﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2024/25"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","(£000s)"
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total Non-UK fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts","Of which: Net fee income relating to contracted out activity "
"10008071","AA School of Architecture","2024-07-31","","","1,429","","","","18,638","20,067","0","1,329","0","21,396","0"
"10007783","The University of Aberdeen","2024-07-31","17,897","11,704","29,601","3,364","32,965","57,071","","90,036","171","1,093","0","91,300",""
"10007849","Abertay University","2024-07-31","6,079","1,888","7,967","258","8,225","3,648","","11,873","0","0","141","12,014",""
"10007856","Aberystwyth University","2024-07-31","15,801","30,290","46,091","972","47,063","10,889","","57,952","0","829","0","58,781",""
"10067853","ACM Guildford Limited","2023-08-31","","","9,271","","","","169","9,440","0","0","1,337","10,777","0"
"10032036","Amity University [IN] London","2024-03-31","","","101","","","","1,119","1,220","0","0","0","1,220","0"
"10030497","Anglo Skills College","2024-02-28","","","42","","","","60","102","0","0","0","102","0"
"10000291","Anglia Ruskin University","2024-07-31","","","206,613","","","","73,865","280,478","19","1,504","505","282,506","0"
"10041898","Apex College","2023-12-31","","","1,140","","","","2,537","3,677","0","0","0","3,677","0"
"10005451","Arden University","2024-05-31","","","169,339","","","","15,223","184,562","0","0","0","184,562","0"
"10000381","Arts Educational Schools","2023-08-31","","","3,644","","","","676","4,320","0","5,850","0","10,170","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2023-12-31","","","3,851","","","","0","3,851","0","0","0","3,851","0"
"10003212","Hult International Business School Ltd","2024-07-31","","","747","","","","17,293","18,040","0","0","0","18,040","0"
"10007759","Aston University","2024-07-31","","","97,585","","","","52,298","149,883","2,282","686","0","152,851","0"
"10038772","British Academy of Jewellery Limited","2024-06-30","","","7,181","","","","0","7,181","0","0","204","7,385","0"
"10007857","Bangor University","2024-07-31","21,521","32,642","54,163","1,844","56,007","32,694","","88,701","1,106","693","0","90,500",""
"10000571","Bath Spa University","2024-07-31","","","162,453","","","","14,104","176,557","0","0","0","176,557","24,277"
"10007850","The University of Bath","2024-07-31","","","110,996","","","","95,772","206,768","10,776","1,908","0","219,452","0"
"10000911","BCNO Limited","2023-08-31","","","0","","","","409","409","0","0","0","409","0"
"10007152","University of Bedfordshire","2024-07-31","","","54,478","","","","67,395","121,873","0","853","0","122,726","0"
"10005343","Queen's University Belfast","2024-07-31","77,551","13,430","90,981","5,398","96,379","61,189","","157,568","1,573","820","0","159,961",""
"10037544","BIMM University","2023-08-31","","","58,352","","","","10,365","68,717","0","0","3,877","72,594","0"
"10007810","Birmingham Christian College","2023-12-31","","","86","","","","85","171","0","43","4","218","0"
