﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007783","The University of Aberdeen","0","1,280","0","0","1,280"
"10007849","Abertay University","5","195","0","0","205"
"10007856","Aberystwyth University","0","540","5","0","545"
"10067853","ACM Guildford Limited*","0","70","0","0","70"
"10032036","Amity University [IN] London*","0","0","0","0","0"
"10000291","Anglia Ruskin University","15","1,100","35","0","1,145"
"10005451","Arden University*","0","385","0","0","385"
"10007759","Aston University","10","940","0","0","955"
"10038772","British Academy of Jewellery Limited*","0","15","0","0","20"
"10007857","Bangor University","5","745","0","0","750"
"10000571","Bath Spa University","0","465","0","0","465"
"10007850","The University of Bath","0","1,340","0","0","1,340"
"10007152","University of Bedfordshire","0","525","5","0","530"
"10005343","Queen's University Belfast","5","1,960","15","0","1,980"
"10037544","BIMM University*","0","130","0","0","130"
"10007760","Birkbeck College","0","470","0","0","470"
"10007140","Birmingham City University*","5","1,520","15","0","1,545"
"10006840","The University of Birmingham*","5","3,610","0","0","3,615"
"10000712","University College Birmingham","10","300","0","0","310"
"10007832","Birmingham Newman University","0","135","5","0","140"
"10004061","Bloomsbury Institute*","0","30","0","0","35"
"10000385","The Arts University Bournemouth","0","260","0","0","260"
"10000824","Bournemouth University","0","845","0","0","850"
"10007785","The University of Bradford","5","580","0","0","585"
"10000886","The University of Brighton","0","850","0","0","855"
"10000936","The University College of Osteopathy*","0","25","0","0","30"
"10007786","The University of Bristol","0","3,430","0","0","3,430"
"10000961","Brunel University London","5","1,105","0","0","1,110"
"10000975","Buckinghamshire New University*","0","390","30","0","415"
"10008173","University of the Built Environment*","0","50","0","0","50"
"10007788","The University of Cambridge","10","5,640","0","0","5,650"
"10003324","The Institute of Cancer Research","0","640","0","0","640"
"10001143","Canterbury Christ Church University","0","660","0","0","660"
