﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10008071","AA School of Architecture","535","345","0","880"
"10007783","The University of Aberdeen","8,050","5,855","25","13,930"
"10007849","Abertay University","2,240","2,670","80","4,990"
"10007856","Aberystwyth University","5,000","3,680","285","8,970"
"10092025","ACMET London College","20","30","0","50"
"10067853","ACM Guildford Limited","280","565","20","865"
"10032036","Amity University [IN] London","65","105","0","170"
"10030497","Anglo Skills College","70","90","0","160"
"10000291","Anglia Ruskin University","20,655","13,640","75","34,370"
"10041898","Apex College","475","510","0","985"
"10005451","Arden University","19,385","13,335","25","32,740"
"10000381","Arts Educational Schools","205","130","5","340"
"10008899","The Ashridge (Bonar Law Memorial) Trust","295","240","5","535"
"10003212","Hult International Business School Ltd","765","960","5","1,730"
"10007759","Aston University","8,930","10,615","20","19,565"
"10007857","Bangor University","5,980","3,850","105","9,935"
"10000571","Bath Spa University","12,745","16,135","90","28,970"
"10007850","The University of Bath","9,505","11,020","10","20,530"
"10007152","University of Bedfordshire","5,535","3,435","30","9,000"
"10005343","Queen's University Belfast","14,930","10,075","75","25,080"
"10037544","BIMM University","3,070","3,315","55","6,435"
"10007810","Birmingham Christian College","0","35","0","35"
"10007760","Birkbeck College","4,375","3,305","40","7,720"
"10007140","Birmingham City University","19,425","12,390","60","31,875"
"10006840","The University of Birmingham","22,210","17,685","130","40,025"
"10000712","University College Birmingham","3,560","3,195","5","6,760"
"10007832","Birmingham Newman University","3,510","1,990","0","5,500"
"10000894","Bristol Baptist College","20","25","0","45"
"10004061","Bloomsbury Institute","195","840","0","1,035"
"10000385","The Arts University Bournemouth","2,555","1,015","165","3,740"
"10000824","Bournemouth University","9,375","7,360","125","16,860"
"10031982","BPP University","12,940","18,145","410","31,490"
"10007785","The University of Bradford","6,015","4,755","5","10,770"
"10000886","The University of Brighton","10,665","6,275","465","17,405"
"10007786","The University of Bristol","17,745","14,665","30","32,435"
"10023464","Trinity College Bristol","55","50","0","105"
"10000961","Brunel University London","5,815","6,855","40","12,705"
"10000975","Buckinghamshire New University","10,130","8,320","35","18,490"
"10008173","University of the Built Environment","1,355","2,225","5","3,580"
"10007787","The University of Buckingham","2,025","1,425","5","3,455"
"10042737","UK Business College Ltd","80","90","0","170"
"10019368","London College of Business Studies","100","180","0","280"
"10010308","Cambridge Arts and Sciences Limited","90","20","5","115"
"10007788","The University of Cambridge","11,660","10,895","5","22,565"
