Provider,UKPRN,Students_1516,Students_2425,Change_abs,Change_pct,FTE_1516,FTE_2425,FTE_change_pct,Growth_gap_x,Flag
Arden University*,10005451,1835,32740,30905,1684.2,NA,340,NA,NA,
NA,10031982,5940,31490,25550,430.1,NA,NA,NA,NA,
Canterbury Christ Church University,10001143,16055,38385,22330,139.1,645,625,-3.1,2.5,⚠ CHECK
Bath Spa University,10000571,7630,28970,21340,279.7,350,500,42.9,2.7,⚠ CHECK
The University of Law*,10039956,685,19730,19045,2780.3,NA,605,NA,NA,
University College London,10007784,37135,51315,14180,38.2,6285,7710,22.7,1.1,
Anglia Ruskin University,10000291,20935,34370,13435,64.2,750,1235,64.7,1,
The University of East London,10007144,13630,26755,13125,96.3,660,690,4.5,1.9,
King's College London,10003645,28900,40870,11970,41.4,3650,4695,28.6,1.1,
The University of Glasgow,10007794,27220,38710,11490,42.2,2710,3995,47.4,1,
The University of Exeter,10007792,21670,33105,11435,52.8,1725,3020,75.1,0.9,
The University of Bristol,10007786,21905,32435,10530,48.1,2780,3495,25.7,1.2,
University for the Creative Arts,10006427,4805,15110,10305,214.5,285,350,22.8,2.6,⚠ CHECK
Leeds Trinity University,10003863,3715,13715,10000,269.2,140,240,71.4,2.2,⚠ CHECK
Buckinghamshire New University,10000975,8580,18490,9910,115.5,360,385,6.9,2,⚠ CHECK
University of Hertfordshire,10007147,24655,33575,8920,36.2,1120,1580,41.1,1,
The University of Greenwich,10007146,20645,29410,8765,42.5,875,1145,30.9,1.1,
"University of the West of England, Bristol",10007164,27715,36380,8665,31.3,1270,1810,42.5,0.9,
The University of Edinburgh,10007790,30355,39015,8660,28.5,4075,5615,37.8,0.9,
University of Suffolk,10014001,5030,13590,8560,170.2,165,240,45.5,1.9,
Regent College London*,10008455,895,9140,8245,921.2,NA,295,NA,NA,
"City St George's, University of London",10001478,18995,27230,8235,43.4,865,1490,72.3,0.8,
Oxford Brookes University,10004930,17865,26095,8230,46.1,880,990,12.5,1.3,
Birmingham City University,10007140,24065,31875,7810,32.5,1055,1590,50.7,0.9,
Ulster University,10007807,25155,32915,7760,30.8,1085,1285,18.4,1.1,
The Nottingham Trent University,10004797,27920,35435,7515,26.9,1470,2170,47.6,0.9,
Queen Mary University of London,10007775,17140,24640,7500,43.8,1850,2710,46.5,1,
The University of Sunderland,10007159,12995,20280,7285,56.1,625,1035,65.6,0.9,
The University of West London,10006566,10410,17690,7280,69.9,495,665,34.3,1.3,
Aston University,10007759,12475,19565,7090,56.8,610,995,63.1,1,
The Manchester Metropolitan University,10004180,32485,39395,6910,21.3,1845,2000,8.4,1.1,
The University of Manchester,10007798,39700,46305,6605,16.6,4655,4985,7.1,1.1,
Ravensbourne University London,10005389,2190,8685,6495,296.6,75,165,120,1.8,
The University of Reading,10007802,14980,21370,6390,42.7,1280,1335,4.3,1.4,
The University of Liverpool,10006842,24775,31050,6275,25.3,2330,3020,29.6,1,
University of Greater Manchester,10006841,6320,12570,6250,98.9,310,470,51.6,1.3,
The University of Birmingham,10006840,33830,40025,6195,18.3,2980,3795,27.3,0.9,
York St John University,10007713,5980,12150,6170,103.2,285,485,70.2,1.2,
The University of Lincoln,10007151,13475,19560,6085,45.2,775,1040,34.2,1.1,
Glasgow Caledonian University,10007762,16580,22205,5625,33.9,725,690,-4.8,1.4,
The University of Salford,10007156,20520,26030,5510,26.9,875,1270,45.1,0.9,
The University of Lancaster,10007768,13115,18620,5505,42,1240,1555,25.4,1.1,
"Imperial College of Science, Technology and Medicine",10003270,17035,22525,5490,32.2,3925,4315,9.9,1.2,
University of Wales Trinity Saint David,10007858,9930,15415,5485,55.2,480,625,30.2,1.2,
The University of York,10007167,17155,22345,5190,30.3,1575,2180,38.4,0.9,
"University of the Arts, London",10007162,18205,22950,4745,26.1,1145,1910,66.8,0.8,
The University of Bath,10007850,16155,20530,4375,27.1,1120,1380,23.2,1,
University of Nottingham,10007154,32125,36460,4335,13.5,3200,3410,6.6,1.1,
The University of Wolverhampton,10007166,19790,23665,3875,19.6,780,730,-6.4,1.3,
Liverpool John Moores University,10003957,21875,25650,3775,17.3,1135,1545,36.1,0.9,
Keele University,10007767,10120,13680,3560,35.2,685,800,16.8,1.2,
The University of the West of Scotland,10007800,15555,19105,3550,22.8,570,715,25.4,1,
Falmouth University,10008640,4655,8185,3530,75.8,230,325,41.3,1.2,
Newcastle University,10007799,23795,27230,3435,14.4,2450,2685,9.6,1,
University of Durham,10007143,17810,21150,3340,18.8,1540,2115,37.3,0.9,
The University of Warwick,10007163,24665,27880,3215,13,2235,2890,29.3,0.9,
Royal Holloway and Bedford New College,10005553,9985,13115,3130,31.3,730,895,22.6,1.1,
University of London (Institutes and activities),10007797,195,3280,3085,1582.1,60,80,33.3,12.6,⚠ CHECK
Teesside University,10007161,18575,21570,2995,16.1,690,985,42.8,0.8,
Roehampton University,10007776,9020,11945,2925,32.4,450,400,-11.1,1.5,
The University of Cambridge,10007788,19660,22565,2905,14.8,5475,5685,3.8,1.1,
The University of Leeds,10007795,31790,34580,2790,8.8,3015,3665,21.6,0.9,
Birmingham Newman University,10007832,2810,5500,2690,95.7,155,155,0,2,
The University of Leicester,10007796,16325,18990,2665,16.3,1510,1730,14.6,1,
University of Derby,10007851,16300,18895,2595,15.9,860,1065,23.8,0.9,
University of Northumbria at Newcastle,10001282,27165,29685,2520,9.3,1305,1655,26.8,0.9,
London School of Economics and Political Science,10004063,10440,12950,2510,24,1085,1385,27.6,1,
University of St Mark and St John,10037449,2365,4850,2485,105.1,95,110,15.8,1.8,
University of the Built Environment*,10008173,1100,3580,2480,225.5,NA,50,NA,NA,
De Montfort University,10001883,20905,23155,2250,10.8,900,1175,30.6,0.8,
The University of Sussex,10007806,15155,17290,2135,14.1,1205,1415,17.4,1,
Robert Gordon University,10005500,12755,14840,2085,16.3,560,490,-12.5,1.3,
BIMM University*,10037544,4365,6435,2070,47.4,NA,145,NA,NA,
Loughborough University,10004113,16950,18955,2005,11.8,1290,1525,18.2,0.9,
The University of Portsmouth,10007155,22060,24015,1955,8.9,1260,1320,4.8,1,
Wrexham University,10007833,6660,8560,1900,28.5,210,235,11.9,1.1,
University College Birmingham,10000712,5025,6760,1735,34.5,265,330,24.5,1.1,
Institute of Contemporary Music Performance*,10035638,700,2250,1550,221.4,NA,45,NA,NA,
Swansea University,10007855,17445,18985,1540,8.8,1205,1560,29.5,0.8,
The University of Surrey,10007160,15050,16430,1380,9.2,1040,1290,24,0.9,
The University of Oxford,10007774,24860,26225,1365,5.5,6570,7435,13.2,0.9,
"Queen Margaret University, Edinburgh",10005337,5285,6590,1305,24.7,210,255,21.4,1,
Kaplan Open Learning (Essex) Limited*,10021682,515,1805,1290,250.5,NA,35,NA,NA,
