UKPRN,HE provider,"Contract salary < £22,681 ","Contract salary ≥ £22,681 and < £28,759 ","Contract salary ≥ £28,759 and < £38,205 ","Contract salary ≥ £38,205 and < £51,283 ","Contract salary ≥ £51,283 and < £68,857 ","Contract salary ≥ £68,857 ",Total
10007783,The University of Aberdeen,0,0,40,160,265,195,655
10007849,Abertay University,0,0,5,30,45,25,110
10007856,Aberystwyth University,0,0,25,75,95,75,270
10067853,ACM Guildford Limited,0,0,5,10,5,0,20
10000163,AECC University College,0,0,0,15,15,5,35
10000291,Anglia Ruskin University,0,5,35,165,150,50,405
10005451,Arden University,0,0,0,80,25,10,115
10007759,Aston University,0,0,20,135,250,85,490
10038772,British Academy of Jewellery Limited,0,0,5,0,0,0,10
10007857,Bangor University,0,0,25,95,115,65,295
10000571,Bath Spa University,0,0,5,45,85,10,145
10007850,The University of Bath,0,0,45,195,325,210,775
10007152,University of Bedfordshire,0,0,5,85,105,25,220
10005343,Queen's University Belfast,0,10,85,325,325,295,"1,035"
10037544,BIMM University,0,0,5,45,15,0,65
10007760,Birkbeck College,0,0,0,35,55,80,170
10007140,Birmingham City University,0,0,30,200,280,65,575
10006840,The University of Birmingham,0,0,205,390,725,525,"1,840"
10000712,University College Birmingham,0,0,20,75,15,5,110
10007832,Birmingham Newman University,0,0,5,20,30,5,60
10007811,Bishop Grosseteste University,0,0,0,15,10,5,35
10004061,Bloomsbury Institute,0,0,0,5,10,0,20
10006841,The University of Bolton,0,0,20,115,65,15,220
10000385,The Arts University Bournemouth,0,5,35,55,5,5,105
10000824,Bournemouth University,0,0,40,120,130,90,385
10007785,The University of Bradford,0,0,10,75,150,60,290
10000886,The University of Brighton,0,0,0,55,200,65,325
10000936,The University College of Osteopathy,0,0,0,5,0,0,5
10007786,The University of Bristol,0,0,50,680,520,415,"1,665"
10000961,Brunel University London,0,0,10,130,265,185,585
10000975,Buckinghamshire New University,0,0,25,50,55,10,140
10007788,The University of Cambridge,0,10,500,"1,035",610,895,"3,055"
10003324,The Institute of Cancer Research,0,0,15,120,70,50,255
10001143,Canterbury Christ Church University,0,5,15,75,100,35,230
10007814,Cardiff University,0,0,50,440,380,510,"1,385"
10007854,Cardiff Metropolitan University,0,0,0,80,135,50,265
10001264,Central School of Ballet,0,0,0,0,0,0,5
10007141,The University of Central Lancashire,0,10,30,250,220,75,575
10024024,Central Film School London,0,0,0,5,0,0,5
10007848,University of Chester,0,0,5,90,105,20,215
10007137,The University of Chichester,0,0,0,30,65,10,105
10001386,Chicken Shed Theatre Company,0,0,5,5,0,0,10
10001478,"City, University of London",0,0,0,65,140,245,445
10007912,Cliff College,0,0,5,0,0,0,5
10066502,The College of Health Ltd,0,0,0,0,0,0,5
10007761,Courtauld Institute of Art,0,0,0,5,0,10,10
10034324,Court Theatre Training Company Ltd,0,0,0,0,0,0,0
10001726,Coventry University,0,0,85,455,290,80,915
10007822,Cranfield University,0,10,40,135,165,160,510
10006427,University for the Creative Arts,0,5,40,45,60,10,160
10007842,University of Cumbria,0,0,0,45,65,5,115
10015688,David Game College Ltd,0,0,0,5,0,0,5
10001883,De Montfort University,0,0,25,200,150,90,470
10007851,University of Derby,0,5,50,140,180,45,420
10007852,The University of Dundee,0,0,35,225,225,135,625
10007143,University of Durham,0,5,60,300,340,350,"1,055"
10007789,The University of East Anglia,0,0,25,140,290,145,600
10007144,The University of East London,0,0,5,90,140,30,265
10032282,The Queen's Foundation for Ecumenical Theological Education,0,0,5,0,0,0,5
10007823,Edge Hill University,0,0,5,105,110,45,260
10007772,Edinburgh Napier University,0,0,10,85,235,45,375
10007790,The University of Edinburgh,0,0,65,895,870,640,"2,480"
10042570,Escape Studios,0,0,0,5,5,10,25
10007791,The University of Essex,0,0,30,135,340,115,625
10008173,University College of Estate Management,0,0,0,5,5,5,15
10007792,The University of Exeter,0,0,105,470,455,320,"1,350"
10008640,Falmouth University,0,5,25,40,60,5,140
10004511,The National Film and Television School,0,0,0,5,10,15,30
10022087,Futureworks,0,0,10,5,0,0,15
10007762,Glasgow Caledonian University,0,0,5,45,215,55,320
10002681,Glasgow School of Art,0,0,0,5,35,10,50
10007794,The University of Glasgow,0,0,120,585,595,570,"1,870"
10007145,University of Gloucestershire,0,0,15,60,85,20,180
10002718,Goldsmiths College,0,0,0,25,95,70,195
10007146,The University of Greenwich,0,5,40,190,205,70,510
10007825,Guildhall School of Music and Drama,0,0,30,25,30,25,105
10040812,Harper Adams University,0,0,0,15,55,10,80
10080811,Hartpury University,0,10,20,25,10,5,70
10007764,Heriot-Watt University,0,0,40,180,205,140,565
10007147,University of Hertfordshire,0,5,55,160,230,65,510
10007148,The University of Huddersfield,0,0,15,150,150,70,385
10007149,The University of Hull,0,0,20,145,160,90,410
10003239,ICON College of Technology and Management,0,0,0,10,5,5,20
10003270,"Imperial College of Science, Technology and Medicine",0,0,0,550,750,"1,080","2,380"
10057622,The School of Information Risk Management,0,0,0,0,0,0,0
10013220,Institute of Art - London Limited,0,0,0,0,0,5,5
10035638,Institute of Contemporary Music Performance,0,0,0,5,0,0,10
10082728,INTO University Partnerships Limited,0,10,30,30,0,0,75
10082570,Kaplan International Colleges U.K. Limited,0,0,50,35,5,0,85
10021682,Kaplan Open Learning (Essex) Limited,0,0,0,5,0,0,10
10007767,Keele University,0,0,15,100,125,75,315
10007150,The University of Kent,0,0,15,145,220,145,525
10003645,King's College London,0,0,30,560,595,775,"1,955"
10003678,Kingston University,0,0,20,95,185,55,360
10003758,LAMDA Limited,0,0,5,10,5,0,15
10007768,The University of Lancaster,0,0,65,230,285,185,770
10003854,Leeds Arts University,0,15,5,15,10,5,50
10003861,Leeds Beckett University,0,0,35,125,285,65,510
10034449,Leeds Conservatoire,0,0,0,15,5,0,15
10007795,The University of Leeds,0,0,80,630,605,485,"1,800"
10003863,Leeds Trinity University,0,0,5,45,45,20,115
10007796,The University of Leicester,0,0,45,240,300,220,800
10089591,LIBF Limited,0,0,0,0,5,5,10
10007151,The University of Lincoln,0,10,65,225,215,65,580
10036456,Academy of Live Technology Ltd,0,0,5,5,0,0,10
10003956,Liverpool Hope University,0,0,5,70,45,15,140
10003957,Liverpool John Moores University,0,5,55,130,415,95,700
10031239,LMA,0,0,10,5,0,0,20
10003945,The Liverpool Institute for Performing Arts,0,0,0,10,10,5,20
10006842,The University of Liverpool,0,0,50,490,370,560,"1,470"
10003958,Liverpool School of Tropical Medicine,0,0,10,30,10,40,90
10007162,"University of the Arts, London",0,0,10,160,150,55,375
10007769,London Business School,0,0,5,0,0,65,65
10007797,University of London (Institutes and activities),0,0,0,10,5,15,30
10004036,London Film School Limited,0,0,0,15,0,0,15
10004048,London Metropolitan University,0,0,15,70,100,40,225
10004078,London South Bank University,0,10,50,120,145,30,355
10004063,London School of Economics and Political Science,0,0,25,130,85,375,615
