UKPRN,HE provider,"Contract salary < £22,681 ","Contract salary ≥ £22,681 and < £28,759 ","Contract salary ≥ £28,759 and < £38,205 ","Contract salary ≥ £38,205 and < £51,283 ","Contract salary ≥ £51,283 and < £68,857 ","Contract salary ≥ £68,857 ",Total
10007783,The University of Aberdeen,0,0,35,130,185,85,435
10007849,Abertay University,0,0,5,40,25,15,85
10007856,Aberystwyth University,0,0,20,70,75,20,185
10067853,ACM Guildford Limited,0,0,0,5,0,0,5
10000163,AECC University College,0,5,0,15,10,0,25
10000291,Anglia Ruskin University,0,0,55,200,190,35,480
10005451,Arden University,0,0,20,95,25,20,160
10007759,Aston University,0,0,35,145,180,35,390
10038772,British Academy of Jewellery Limited,0,0,0,0,0,0,5
10007857,Bangor University,0,0,45,125,100,35,300
10000571,Bath Spa University,0,0,5,55,85,15,160
10007850,The University of Bath,0,0,35,120,200,55,415
10007152,University of Bedfordshire,0,0,5,110,135,15,265
10005343,Queen's University Belfast,0,10,95,290,255,155,810
10037544,BIMM University,0,0,0,20,5,0,30
10007760,Birkbeck College,0,0,5,50,40,75,175
10007140,Birmingham City University,0,0,30,235,280,40,580
10006840,The University of Birmingham,0,5,220,310,505,260,"1,300"
10000712,University College Birmingham,5,0,40,90,35,15,185
10007832,Birmingham Newman University,0,0,5,25,30,5,65
10007811,Bishop Grosseteste University,0,0,0,15,30,0,50
10004061,Bloomsbury Institute,0,0,0,5,0,0,10
10006841,The University of Bolton,0,0,25,130,70,10,240
10000385,The Arts University Bournemouth,0,5,35,40,5,0,85
10000824,Bournemouth University,0,5,20,120,105,60,310
10007785,The University of Bradford,0,0,15,75,100,25,220
10000886,The University of Brighton,0,0,5,65,220,40,330
10000936,The University College of Osteopathy,0,0,0,0,0,0,5
10007786,The University of Bristol,0,0,40,615,365,200,"1,220"
10000961,Brunel University London,0,0,5,85,220,100,410
10000975,Buckinghamshire New University,0,0,30,65,55,5,155
10007788,The University of Cambridge,0,10,540,775,400,340,"2,060"
10003324,The Institute of Cancer Research,0,0,40,175,75,25,320
10001143,Canterbury Christ Church University,0,5,15,135,130,20,305
10007814,Cardiff University,0,0,100,440,305,255,"1,095"
10007854,Cardiff Metropolitan University,0,0,0,85,140,35,260
10001264,Central School of Ballet,0,0,0,5,0,0,5
10007141,The University of Central Lancashire,0,5,15,305,235,60,620
10007848,University of Chester,0,0,10,120,120,25,275
10007137,The University of Chichester,0,0,0,30,50,5,85
10001386,Chicken Shed Theatre Company,0,5,5,0,0,0,10
10001478,"City, University of London",0,0,0,55,150,175,380
10007912,Cliff College,0,0,0,0,0,0,0
