ward,labour_2024,green_2024,lib_dems_2024,conservative_2024,reform_uk_2024,workers_party_2024,labour_2026,green_2026,lib_dems_2026,conservative_2026,reform_uk_2026,workers_party_2026,labour_shift,green_shift,lib_dems_shift,conservative_shift,reform_uk_shift,workers_party_shift,turnout_2024,turnout_2026,turnout_shift,winner_2024,winner_2026,con_share_2024,pop_total,pct_migrant,pct_asian,pct_black,pct_mixed,pct_white,pct_other_ethnic,pct_disabled,pct_routine_manual,pct_professional,imd_mean_rank,imd_mean_decile
Ancoats & Beswick,37.42,9.64,50.07,2.0,,,18.55,41.97,25.87,1.84,11.77,,-18.87,32.33,-24.2,-0.16,11.77,0.0,30.08,32.26,2.18,Lib Dems,Green,2.0,14713,2.7,12.5,9.7,5.4,67.5,4.8,14.7,20.6,56.5,4832.0,2.0
Ardwick,64.11,17.39,7.67,10.83,,,32.14,45.78,3.39,4.59,8.4,4.84,-31.97,28.39,-4.28,-6.24,8.4,4.84,23.79,26.88,3.09,Labour,Green,10.83,20838,7.1,33.4,19.3,5.7,32.9,8.7,16.3,41.1,35.7,1720.0,1.17
Baguley,64.05,12.88,5.98,17.08,,,27.86,18.36,3.75,7.53,40.87,,-36.19,5.48,-2.23,-9.55,40.87,0.0,21.62,28.1,6.48,Labour,Reform UK,17.08,15851,1.3,7.2,8.0,4.7,77.5,2.7,21.8,43.4,26.2,3373.0,1.56
Brooklands,63.79,14.76,6.5,14.95,,,32.04,20.65,4.9,10.15,32.26,,-31.75,5.89,-1.6,-4.8,32.26,0.0,24.94,33.45,8.51,Labour,Reform UK,14.95,14991,0.6,8.0,4.1,4.3,80.7,2.9,21.0,35.9,33.6,8154.0,3.0
Burnage,53.92,19.47,5.02,4.71,,16.89,29.31,45.75,3.08,2.17,16.97,2.23,-24.61,26.28,-1.94,-2.54,16.97,-14.66,32.06,36.24,4.18,Labour,Green,4.71,18291,0.9,32.6,4.8,5.6,52.2,4.9,19.1,36.8,33.4,5378.0,2.1
Charlestown,60.04,22.15,6.6,11.21,,,33.46,18.15,4.79,,43.6,,-26.58,-4.0,-1.81,-11.21,43.6,0.0,22.38,29.58,7.2,Labour,Reform UK,11.21,17263,0.8,8.2,18.7,4.4,66.8,1.8,20.4,41.9,26.1,2347.0,1.43
Cheetham,50.01,8.27,5.01,3.94,,,33.73,26.3,2.92,,6.51,7.79,-16.28,18.03,-2.09,-3.94,6.51,7.79,27.88,29.72,1.84,Labour,Labour,3.94,21161,1.9,48.1,11.5,5.0,26.7,8.7,14.8,44.1,31.4,3995.0,1.6
Chorlton,60.14,29.12,7.34,3.4,,,42.3,45.42,4.4,2.62,5.26,,-17.84,16.3,-2.94,-0.78,5.26,0.0,44.87,52.47,7.6,Labour,Green,3.4,12709,1.1,11.5,2.6,4.4,80.0,1.5,15.2,15.7,59.8,17427.0,5.78
Chorlton Park,64.02,24.18,7.24,4.55,,,38.64,40.54,5.6,2.46,8.11,4.24,-25.38,16.36,-1.64,-2.09,8.11,4.24,38.76,45.82,7.06,Labour,Green,4.55,17381,0.8,19.5,5.8,6.9,63.1,4.7,17.5,23.5,50.2,9230.0,3.44
Clayton & Openshaw,73.6,12.06,7.09,7.26,,,35.86,27.77,4.14,4.93,27.3,,-37.74,15.71,-2.95,-2.33,27.3,0.0,22.59,26.63,4.04,Labour,Labour,7.26,19744,1.5,10.7,25.9,6.1,52.6,4.8,19.0,46.5,24.9,943.0,1.0
