month,interest
2019-01,43
2019-02,51
2019-03,46
2019-04,46
2019-05,45
2019-06,41
2019-07,42
2019-08,44
2019-09,43
2019-10,44
2019-11,42
2019-12,38
2020-01,47
2020-02,45
2020-03,31
2020-04,24
2020-05,29
2020-06,33
2020-07,31
2020-08,33
2020-09,32
2020-10,34
2020-11,31
2020-12,33
2021-01,30
2021-02,35
2021-03,35
2021-04,39
2021-05,33
2021-06,39
2021-07,42
2021-08,36
2021-09,39
2021-10,39
2021-11,39
2021-12,34
2022-01,36
2022-02,39
2022-03,38
2022-04,38
2022-05,38
2022-06,42
2022-07,40
2022-08,43
2022-09,48
2022-10,48
2022-11,46
2022-12,43
2023-01,42
2023-02,53
2023-03,50
2023-04,48
2023-05,53
2023-06,56
2023-07,50
2023-08,55
2023-09,52
2023-10,51
2023-11,50
2023-12,44
2024-01,53
2024-02,63
2024-03,59
2024-04,62
2024-05,64
2024-06,58
2024-07,60
2024-08,63
2024-09,57
2024-10,57
2024-11,59
2024-12,57
2025-01,59
2025-02,63
2025-03,63
2025-04,67
2025-05,67
2025-06,73
2025-07,70
2025-08,90
2025-09,100
2025-10,55
