NAME_2,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Álava,78,50,30,27,29,21,20,14,17,13,7,8,8,8,5
Albacete,61,74,84,72,63,54,34,55,33,21,27,14,12,8,6
Alicante,687,619,709,595,431,419,323,327,258,247,199,199,234,137,59
Almería,245,299,305,305,280,294,269,240,209,147,145,106,71,74,59
Ávila,15,6,16,27,18,10,7,15,3,3,5,0,3,1,5
Badajoz,123,107,98,106,87,93,78,80,53,37,60,37,36,24,17
Baleares,514,407,417,509,325,285,264,251,233,221,239,193,128,95,50
Barcelona,5077,4610,5201,5483,4793,5101,3753,3072,2978,2977,2562,2123,1799,1088,796
Burgos,44,40,43,41,28,26,30,21,16,13,10,11,10,9,4
Cáceres,22,46,57,42,23,27,23,23,10,13,13,6,5,5,5
Cádiz,400,378,403,425,361,383,313,317,297,342,328,334,203,138,99
Castellón,204,193,302,224,134,81,82,78,58,74,88,43,37,29,29
Ciudad Real,85,98,130,86,75,50,61,49,45,40,50,22,24,7,13
Córdoba,187,157,175,196,218,217,197,117,126,136,161,54,33,20,17
A Coruña,125,113,99,104,91,66,42,52,53,38,43,29,22,22,18
Cuenca,21,15,35,21,13,18,16,19,9,20,9,5,6,13,2
Girona,940,759,777,976,883,712,612,427,535,445,293,143,164,99,63
Granada,183,141,151,166,133,112,105,98,95,70,119,73,89,55,53
Guadalajara,66,49,52,89,76,81,73,50,59,52,19,9,6,9,9
Guipúzcoa,184,115,96,78,58,62,47,44,35,29,38,34,31,35,48
Huelva,152,126,168,180,164,216,228,197,191,165,147,90,47,28,17
Huesca,48,43,47,44,28,13,9,6,9,5,13,12,4,3,5
Jaén,83,78,74,79,76,66,76,78,65,75,54,44,36,35,21
León,37,37,29,43,35,28,21,11,12,16,17,13,9,12,9
Lleida,207,198,274,243,221,177,137,103,100,93,107,61,64,26,31
La Rioja,65,52,45,41,14,11,3,4,4,4,8,6,11,9,9
Lugo,35,18,23,15,13,10,23,11,10,4,7,9,7,8,0
Madrid,1451,1516,1517,1660,1336,1441,1372,1466,1372,1630,2119,1628,1214,673,420
Málaga,451,429,446,429,371,350,401,417,336,349,367,332,237,145,75
Murcia,479,435,635,628,391,345,210,172,164,210,181,141,193,109,49
Navarra,96,96,130,119,97,117,87,47,62,30,37,26,19,21,24
Ourense,22,16,11,17,9,9,2,2,5,3,9,1,1,3,1
Asturias,100,88,68,79,59,34,23,19,27,19,33,24,12,17,20
Palencia,13,8,15,29,15,12,13,5,5,1,3,1,0,0,0
Las Palmas,361,337,275,289,360,285,312,311,186,192,138,98,61,41,15
Pontevedra,60,65,57,59,56,44,43,44,27,33,46,32,37,27,14
Salamanca,32,20,28,28,12,23,19,18,14,18,13,13,11,11,5
Santa Cruz de Tenerife,302,244,233,206,273,250,274,277,295,277,187,118,58,36,34
Cantabria,102,87,76,101,52,85,93,49,34,36,20,13,11,11,15
Segovia,30,28,21,30,9,13,5,8,6,7,1,2,3,3,1
Sevilla,506,723,790,777,778,897,783,557,543,776,637,479,270,156,117
Soria,5,8,8,1,2,2,0,0,0,1,0,0,1,0,0
Tarragona,785,691,750,643,750,698,614,521,506,435,434,312,243,123,78
Teruel,8,10,1,4,2,1,2,1,2,2,3,0,1,0,0
Toledo,305,396,417,485,338,380,279,245,270,215,342,190,126,52,14
Valencia,876,828,1015,960,768,591,433,367,323,461,397,369,379,223,189
Valladolid,118,107,118,102,84,85,80,71,67,130,97,82,94,54,41
Vizcaya,180,128,136,145,142,130,137,98,70,61,58,59,71,54,47
Zamora,12,15,6,20,3,6,4,3,2,7,4,4,3,0,3
Zaragoza,219,166,153,209,177,172,162,143,155,173,177,128,53,56,44
Ceuta,14,9,8,19,21,7,14,12,10,9,11,6,34,35,46
Melilla,11,11,11,18,17,11,5,7,3,1,2,3,2,2,1
