"opponent","team","match_id","date","home","gf","ga","result","points","team_value","opp_value","team_form5","opp_form5","team_xgf","team_xga","opp_xgf","opp_xga"
"LEE","ARS",61300983,2026-01-31,0,4,0,"W",3,1330,296,1,0,1.79,0.71,1.42,1.5
"SUN","ARS",61301001,2026-02-07,1,3,0,"W",3,1330,292,1,0.3333,1.79,0.71,0.88,1.4
"BRE","ARS",61301019,2026-02-12,0,1,1,"D",1,1330,392,0.7778,0.7778,1.79,0.71,1.59,1.4
"WOL","ARS",61301139,2026-02-18,0,2,2,"D",1,1330,287,0.6667,0.0833,1.79,0.71,0.92,1.47
"TOT","ARS",61301055,2026-02-22,0,4,1,"W",3,1330,891,0.7333,0.0833,1.79,0.71,1.11,1.38
"CFC","ARS",61301061,2026-03-01,1,2,1,"W",3,1330,1080,0.7333,0.5333,1.79,0.71,1.92,1.41
"BRI","ARS",61301081,2026-03-04,0,1,0,"W",3,1330,462,0.7333,0.4,1.79,0.71,1.5,1.46
"EVE","ARS",61301099,2026-03-14,1,2,0,"W",3,1330,320,0.8667,0.4,1.79,0.71,1.21,1.51
"BOU","ARS",61301141,2026-04-11,1,1,2,"L",0,1330,389,0.8,0.4667,1.79,0.71,1.63,1.44
"MCI","ARS",61301173,2026-04-19,0,1,2,"L",0,1330,1290,0.6,0.7333,1.79,0.71,1.84,1.15
"BRE","AVL",61300977,2026-02-01,1,0,1,"L",0,547,392,0,1,1.26,1.46,1.59,1.4
"BOU","AVL",61300999,2026-02-07,0,1,1,"D",1,547,389,0.1667,0.6667,1.26,1.46,1.63,1.44
"BRI","AVL",61301033,2026-02-11,1,1,0,"W",3,547,462,0.4444,0.1111,1.26,1.46,1.5,1.46
"LEE","AVL",61301039,2026-02-21,1,1,1,"D",1,547,296,0.4167,0.4167,1.26,1.46,1.42,1.5
"WOL","AVL",61301077,2026-02-27,0,0,2,"L",0,547,287,0.3333,0.2667,1.26,1.46,0.92,1.47
"CFC","AVL",61301095,2026-03-04,1,1,4,"L",0,547,1080,0.3333,0.5333,1.26,1.46,1.92,1.41
"MUN","AVL",61301111,2026-03-15,0,1,3,"L",0,547,748,0.2667,0.6667,1.26,1.46,1.75,1.26
"WHU","AVL",61301121,2026-03-22,1,2,0,"W",3,547,372,0.2667,0.3333,1.26,1.46,1.12,1.68
"NFO","AVL",61301155,2026-04-12,0,1,1,"D",1,547,589,0.2667,0.4,1.26,1.46,1.1,1.46
"SUN","AVL",61301161,2026-04-19,1,4,3,"W",3,547,292,0.4667,0.6,1.26,1.46,0.88,1.4
"WOL","BOU",61300995,2026-01-31,0,2,0,"W",3,389,287,1,0,1.63,1.44,0.92,1.47
"AVL","BOU",61300999,2026-02-07,1,1,1,"D",1,389,547,0.6667,0.1667,1.63,1.44,1.26,1.46
"EVE","BOU",61301023,2026-02-10,0,2,1,"W",3,389,320,0.7778,0.4444,1.63,1.44,1.21,1.51
"WHU","BOU",61301057,2026-02-21,0,0,0,"D",1,389,372,0.6667,0.5333,1.63,1.44,1.12,1.68
"SUN","BOU",61301059,2026-02-28,1,1,1,"D",1,389,292,0.6,0.2667,1.63,1.44,0.88,1.4
"BRE","BOU",61301079,2026-03-03,1,0,0,"D",1,389,392,0.4667,0.5333,1.63,1.44,1.59,1.4
"BUR","BOU",61301103,2026-03-14,0,0,0,"D",1,389,230,0.4667,0.3333,1.63,1.44,0.88,1.96
"MUN","BOU",61301119,2026-03-20,1,2,2,"D",1,389,748,0.3333,0.6667,1.63,1.44,1.75,1.26
"ARS","BOU",61301141,2026-04-11,0,2,1,"W",3,389,1330,0.4667,0.8,1.63,1.44,1.79,0.71
"NEW","BOU",61301175,2026-04-18,0,2,1,"W",3,389,650,0.6,0.4,1.63,1.44,1.58,1.2
"LEE","BOU",NA,2026-04-22,1,2,2,"D",1,389,296,0.6,0.533333333333333,1.63,0,1.42,0
"AVL","BRE",61300977,2026-02-01,0,1,0,"W",3,392,547,1,0,1.59,1.4,1.26,1.46
"NEW","BRE",61301015,2026-02-07,0,3,2,"W",3,392,650,1,0,1.59,1.4,1.58,1.2
"ARS","BRE",61301019,2026-02-12,1,1,1,"D",1,392,1330,0.7778,0.7778,1.59,1.4,1.79,0.71
"BRI","BRE",61301041,2026-02-21,1,0,2,"L",0,392,462,0.5833,0.3333,1.59,1.4,1.5,1.46
"BUR","BRE",61301065,2026-02-28,0,4,3,"W",3,392,230,0.6667,0.2667,1.59,1.4,0.88,1.96
"BOU","BRE",61301079,2026-03-03,0,0,0,"D",1,392,389,0.5333,0.4667,1.59,1.4,1.63,1.44
"WOL","BRE",68096896,2026-03-16,1,2,2,"D",1,392,287,0.4,0.5333,1.59,1.4,0.92,1.47
"LEE","BRE",61301131,2026-03-21,0,0,0,"D",1,392,296,0.4,0.2,1.59,1.4,1.42,1.5
"EVE","BRE",61301143,2026-04-11,1,2,2,"D",1,392,320,0.4667,0.6667,1.59,1.4,1.21,1.51
"FUL","BRE",61301163,2026-04-18,1,0,0,"D",1,392,292,0.3333,0.3333,1.59,1.4,1.24,1.46
"EVE","BRI",61300979,2026-01-31,1,1,1,"D",1,462,320,0.3333,0.3333,1.5,1.46,1.21,1.51
"CRY","BRI",61301003,2026-02-08,1,0,1,"L",0,462,432,0.1667,0.3333,1.5,1.46,1.56,1.41
"AVL","BRI",61301033,2026-02-11,0,0,1,"L",0,462,547,0.1111,0.4444,1.5,1.46,1.26,1.46
"BRE","BRI",61301041,2026-02-21,0,2,0,"W",3,462,392,0.3333,0.5833,1.5,1.46,1.59,1.4
"NFO","BRI",61301063,2026-03-01,1,2,1,"W",3,462,589,0.4667,0.1333,1.5,1.46,1.1,1.46
"ARS","BRI",61301081,2026-03-04,1,0,1,"L",0,462,1330,0.4,0.7333,1.5,1.46,1.79,0.71
"SUN","BRI",61301115,2026-03-14,0,1,0,"W",3,462,292,0.6,0.2667,1.5,1.46,0.88,1.4
"LFC","BRI",61301123,2026-03-21,1,2,1,"W",3,462,1100,0.8,0.4667,1.5,1.46,1.57,1.14
"BUR","BRI",61301145,2026-04-11,0,2,0,"W",3,462,230,0.8,0.0667,1.5,1.46,0.88,1.96
"TOT","BRI",61301179,2026-04-18,0,2,2,"D",1,462,891,0.6667,0.1333,1.5,1.46,1.11,1.38
"CFC","BRI",NA,2026-04-21,1,3,0,"W",3,462,1080,0.666666666666667,0.2,1.5,0,1.92,0
"SUN","BUR",65905652,2026-02-02,0,0,3,"L",0,230,292,0,0.5,0.88,1.96,0.88,1.4
"WHU","BUR",61301005,2026-02-07,1,0,2,"L",0,230,372,0,0.6667,0.88,1.96,1.12,1.68
"CRY","BUR",61301035,2026-02-11,0,3,2,"W",3,230,432,0.3333,0.2667,0.88,1.96,1.56,1.41
"CFC","BUR",61301043,2026-02-21,0,1,1,"D",1,230,1080,0.3333,0.7333,0.88,1.96,1.92,1.41
"BRE","BUR",61301065,2026-02-28,1,3,4,"L",0,230,392,0.2667,0.6667,0.88,1.96,1.59,1.4
"EVE","BUR",61301083,2026-03-03,0,0,2,"L",0,230,320,0.2667,0.6,0.88,1.96,1.21,1.51
"BOU","BUR",61301103,2026-03-14,1,0,0,"D",1,230,389,0.3333,0.4667,0.88,1.96,1.63,1.44
"FUL","BUR",61301127,2026-03-21,0,1,3,"L",0,230,292,0.1333,0.6667,0.88,1.96,1.24,1.46
"BRI","BUR",61301145,2026-04-11,1,0,2,"L",0,230,462,0.0667,0.8,0.88,1.96,1.5,1.46
"NFO","BUR",61301177,2026-04-19,0,1,4,"L",0,230,589,0.0667,0.6,0.88,1.96,1.1,1.46
"MCI","BUR",NA,2026-04-22,1,0,1,"L",0,230,1290,0.0666666666666667,0.733333333333333,0.88,0,1.84,0
