﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007783","The University of Aberdeen","0","1,140","5","0","1,145"
"10007849","Abertay University","0","200","0","0","200"
"10007856","Aberystwyth University","0","525","5","0","530"
"10000291","Anglia Ruskin University","10","780","15","0","805"
"10007759","Aston University","0","785","0","0","785"
"10007857","Bangor University","5","725","15","0","750"
"10000571","Bath Spa University","5","390","0","0","395"
"10007850","The University of Bath","0","1,265","0","0","1,265"
"10007152","University of Bedfordshire","0","480","0","0","485"
"10005343","Queen's University Belfast","0","1,800","30","0","1,825"
"10007760","Birkbeck College","0","540","0","0","540"
"10007140","Birmingham City University","5","1,290","25","0","1,320"
"10006840","The University of Birmingham","15","3,335","35","0","3,385"
"10000712","University College Birmingham","0","265","0","0","270"
"10007832","Birmingham Newman University","0","130","5","0","135"
"10000385","The Arts University Bournemouth","0","230","0","0","230"
"10000824","Bournemouth University","0","805","0","0","805"
"10007785","The University of Bradford","0","485","0","0","485"
"10000886","The University of Brighton","0","1,050","0","0","1,055"
"10000936","The University College of Osteopathy","5","35","0","0","35"
"10007786","The University of Bristol","0","2,995","0","0","2,995"
"10000961","Brunel University London","5","845","0","0","855"
"10000975","Buckinghamshire New University","0","290","20","0","310"
"10007787","The University of Buckingham","5","130","0","0","140"
"10007788","The University of Cambridge","10","5,810","0","0","5,820"
"10003324","The Institute of Cancer Research","0","620","10","0","630"
"10001143","Canterbury Christ Church University","5","640","0","0","645"
"10007814","Cardiff University","45","2,765","10","0","2,825"
"10007854","Cardiff Metropolitan University","0","510","0","0","515"
"10007848","University of Chester","0","600","0","0","605"
"10007137","The University of Chichester","0","320","0","0","320"
"10001478","City St George's, University of London","0","950","0","0","955"
"10001653","Conservatoire for Dance and Drama","0","140","0","0","140"
"10007761","Courtauld Institute of Art","0","35","0","0","35"
"10001726","Coventry University","5","2,205","10","0","2,220"
"10007822","Cranfield University","0","630","5","0","640"
"10006427","University for the Creative Arts","0","230","50","0","280"
"10007842","University of Cumbria","0","350","0","0","350"
"10001883","De Montfort University","0","1,120","0","0","1,125"
"10007851","University of Derby","0","980","45","0","1,025"
"10007852","The University of Dundee","0","1,285","5","0","1,290"
"10007143","University of Durham","0","1,590","0","0","1,590"
"10007789","The University of East Anglia","0","1,475","0","0","1,475"
"10007144","The University of East London","0","570","0","0","575"
"10007823","Edge Hill University","0","785","0","0","790"
"10007772","Edinburgh Napier University","5","630","5","0","640"
"10007790","The University of Edinburgh","5","4,485","45","0","4,535"
"10007791","The University of Essex","0","935","5","0","940"
"10007792","The University of Exeter","5","2,230","0","0","2,230"
"10008640","Falmouth University","0","245","20","0","265"
"10004511","The National Film and Television School","0","25","0","0","25"
"10007762","Glasgow Caledonian University","0","675","0","0","675"
"10002681","Glasgow School of Art","0","105","60","0","165"
"10007794","The University of Glasgow","0","3,160","15","0","3,175"
"10007145","University of Gloucestershire","0","405","5","0","405"
"10002718","Goldsmiths College","0","650","0","0","650"
"10006841","University of Greater Manchester","0","310","30","0","340"
"10007146","The University of Greenwich","5","840","5","0","855"
"10007825","Guildhall School of Music and Drama","15","170","10","0","195"
"10040812","Harper Adams University","0","160","0","0","160"
"10080811","Hartpury University","0","65","0","0","70"
"10000163","Health Sciences University","0","40","0","0","40"
"10007764","Heriot-Watt University","0","750","15","0","765"
"10007147","University of Hertfordshire","0","1,250","0","0","1,250"
"10007148","The University of Huddersfield","0","860","0","0","860"
"10007149","The University of Hull","0","885","30","0","915"
"10003270","Imperial College of Science, Technology and Medicine","5","3,945","0","0","3,950"
"10007767","Keele University","0","695","10","0","705"
"10007150","The University of Kent","0","1,145","0","0","1,150"
"10003645","King's College London","0","4,090","20","0","4,110"
"10003678","Kingston University","5","790","30","0","825"
"10007141","University of Lancashire","0","1,355","65","0","1,420"
"10007768","The University of Lancaster","5","1,415","0","0","1,420"
"10003854","Leeds Arts University","0","125","5","0","130"
"10003861","Leeds Beckett University","0","965","0","0","965"
"10034449","Leeds Conservatoire","0","55","0","0","55"
"10007795","The University of Leeds","10","3,355","5","0","3,370"
"10003863","Leeds Trinity University","0","140","0","0","140"
"10007796","The University of Leicester","5","1,510","10","0","1,520"
"10007151","The University of Lincoln","0","975","0","0","975"
"10007811","Lincoln Bishop University","0","105","0","0","105"
"10003956","Liverpool Hope University","5","270","0","0","275"
"10003957","Liverpool John Moores University","0","1,280","45","0","1,325"
"10003945","The Liverpool Institute for Performing Arts","0","50","0","0","50"
"10006842","The University of Liverpool","5","2,605","10","0","2,615"
"10003958","Liverpool School of Tropical Medicine","0","220","0","0","220"
"10007162","University of the Arts, London","0","1,325","0","0","1,325"
