﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2017/18 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2018-07-31","14,324","0","0","3,083","3","1,457","18,867","9,034","178","8,330","427","119","18,088"
"10007783","The University of Aberdeen","2018-07-31","55,842","74,752","56,079","31,286","1,251","261","219,471","136,013","0","68,646","18,635","3,655","226,949"
"10007849","Abertay University","2018-07-31","9,064","19,475","1,316","2,627","816","587","33,885","23,492","0","7,896","1,698","572","33,658"
"10007856","Aberystwyth University","2018-07-31","58,198","11,933","20,004","26,684","784","446","118,049","66,143","1,523","42,895","10,969","4,033","125,563"
"10032036","Amity University [IN] London","2018-03-31","118","0","0","1,389","0","0","1,507","490","0","665","16","0","1,171"
"10000291","Anglia Ruskin University","2018-07-31","167,988","19,372","5,205","15,100","184","88","207,937","110,942","0","72,754","15,706","6,458","205,860"
"10007759","Aston University","2018-07-31","107,403","15,793","16,688","15,999","131","773","156,787","88,258","0","46,440","10,500","2,061","147,259"
"10007857","Bangor University","2018-07-31","85,099","11,138","21,130","46,704","299","507","164,877","80,305","(1,014)","47,657","12,544","5,861","145,353"
"10000571","Bath Spa University","2018-07-31","64,110","5,486","1,690","12,213","249","206","83,954","45,460","0","29,739","4,686","3,130","83,015"
"10007850","The University of Bath","2018-07-31","163,998","31,972","37,065","49,588","2,760","2,759","288,142","154,001","0","95,744","25,434","7,503","282,682"
