﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2019-07-31","16,319","0","0","2,571","4","806","19,700","8,693","0","8,284","503","101","17,581"
"10007783","The University of Aberdeen","2019-07-31","62,613","77,618","54,210","31,482","1,975","596","228,494","179,126","0","70,914","18,837","3,774","272,651"
"10007849","Abertay University","2019-07-31","9,782","19,706","2,061","2,450","474","291","34,764","25,971","0","9,025","2,107","127","37,230"
"10007856","Aberystwyth University","2019-07-31","55,794","12,954","18,517","27,984","774","259","116,282","84,735","770","46,447","10,531","3,845","146,328"
"10067853","ACM Guildford Limited","2018-08-31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000248","Academy of Live and Recorded Arts","2018-08-31","2,631","0","0","50","8","1","2,690","1,298","0","1,316","74","0","2,688"
"10032036","Amity University [IN] London","2019-03-31","90","0","0","1,434","0","0","1,524","465","0","564","15","0","1,044"
"10000291","Anglia Ruskin University","2019-07-31","173,625","19,981","6,347","16,200","252","192","216,597","112,711","0","76,390","13,309","5,767","208,177"
"10041898","Apex College","2018-12-31","282","0","0","0","0","0","282","177","0","93","0","0","270"
"10005451","Arden University","2018-10-31","15,304","0","0","813","0","0","16,117","8,476","0","10,383","742","446","20,047"
"10000381","Arts Educational Schools","2018-08-31","7,756","0","0","702","33","212","8,703","5,551","14","2,147","720","0","8,432"
"10003212","Hult International Business School Ltd","2018-09-30","40,465","0","0","1","0","0","40,466","4,610","0","31,310","1,016","674","37,610"
"10007759","Aston University","2019-07-31","108,914","16,782","17,101","14,047","233","370","157,447","127,845","0","58,261","10,902","1,889","198,897"
"10038772","British Academy of Jewellery Limited","2018-12-31","33","105","0","308","0","0","446","249","0","171","4","0","424"
"10007857","Bangor University","2019-07-31","80,698","13,688","21,098","29,936","520","440","146,380","100,928","1,353","45,908","12,607","5,652","166,448"
"10000571","Bath Spa University","2019-07-31","63,044","4,900","1,975","12,785","321","231","83,256","45,261","2,915","28,402","4,661","3,065","84,304"
"10007850","The University of Bath","2019-07-31","169,757","34,969","39,642","52,967","3,231","9,178","309,744","215,847","0","98,750","29,286","10,321","354,204"
"10000911","BCNO Limited","2018-08-31","1,054","140","0","551","1","12","1,758","1,096","0","593","75","17","1,781"
"10007152","University of Bedfordshire","2019-07-31","97,854","8,100","3,077","10,403","186","110","119,730","62,682","0","46,719","8,241","1,505","119,147"
"10005343","Queen's University Belfast","2019-07-31","115,508","101,298","91,691","57,351","3,894","2,524","372,266","286,704","0","124,928","22,666","2,071","436,369"
"10037544","BIMM University","2018-08-31","41,383","0","0","188","0","0","41,571","8,987","0","17,351","4,770","73","31,181"
