﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,555","10","0","1,565"
"10007849","Abertay University","0","205","5","0","210"
"10007856","Aberystwyth University","0","840","5","0","850"
"10000291","Anglia Ruskin University","5","785","15","0","805"
"10007759","Aston University","0","675","0","0","675"
"10007857","Bangor University","5","965","20","0","990"
"10000571","Bath Spa University","5","605","0","0","610"
"10007850","The University of Bath","0","1,345","0","0","1,345"
"10007152","University of Bedfordshire","0","615","20","0","635"
"10005343","Queen's University Belfast","0","1,710","5","0","1,715"
"10007760","Birkbeck College","5","1,265","0","0","1,270"
"10007140","Birmingham City University","5","1,675","15","0","1,700"
"10006840","The University of Birmingham","5","3,595","30","0","3,635"
"10000712","University College Birmingham","0","290","0","0","290"
"10007832","Birmingham Newman University","0","155","5","0","160"
"10000385","The Arts University Bournemouth","0","350","0","0","355"
"10000824","Bournemouth University","0","935","0","0","935"
"10007785","The University of Bradford","0","625","0","0","630"
"10000886","The University of Brighton","0","1,795","5","0","1,800"
"10007786","The University of Bristol","0","3,055","0","0","3,055"
"10000961","Brunel University London","5","1,120","0","0","1,130"
"10000975","Buckinghamshire New University","5","450","10","0","465"
"10007787","The University of Buckingham","5","150","0","0","160"
"10007788","The University of Cambridge","10","5,815","0","0","5,825"
"10003324","The Institute of Cancer Research","0","650","5","0","655"
"10001143","Canterbury Christ Church University","5","720","5","0","730"
"10007814","Cardiff University","75","3,335","5","0","3,415"
"10007854","Cardiff Metropolitan University","0","715","0","0","715"
"10007848","University of Chester","5","665","5","0","670"
"10007137","The University of Chichester","0","515","0","0","515"
"10001478","City St George's, University of London","0","1,890","5","0","1,895"
"10001653","Conservatoire for Dance and Drama","0","250","0","0","250"
"10007761","Courtauld Institute of Art","0","40","0","0","45"
"10001726","Coventry University","10","2,215","25","0","2,250"
"10007822","Cranfield University","0","660","5","0","665"
"10006427","University for the Creative Arts","0","290","80","0","370"
"10007842","University of Cumbria","0","400","5","0","405"
"10001883","De Montfort University","0","1,295","0","0","1,300"
"10007851","University of Derby","0","1,260","25","0","1,285"
"10007852","The University of Dundee","0","1,465","5","0","1,465"
"10007143","University of Durham","0","1,690","0","0","1,690"
"10007789","The University of East Anglia","0","1,745","0","0","1,745"
"10007144","The University of East London","0","880","10","0","895"
"10007823","Edge Hill University","0","1,040","0","0","1,040"
"10007772","Edinburgh Napier University","5","850","5","0","865"
"10007790","The University of Edinburgh","5","4,380","75","0","4,455"
"10007791","The University of Essex","0","1,190","5","0","1,195"
