﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2024-07-31","21,396","0","0","1,258","748","260","23,662","12,644","22","9,946","477","54","23,143"
"10007783","The University of Aberdeen","2024-07-31","91,300","76,758","56,875","30,200","5,497","676","261,306","80,095","6,310","76,495","19,137","6,988","189,025"
"10007849","Abertay University","2024-07-31","12,014","20,801","2,790","3,029","1,038","8","39,680","27,271","0","11,048","3,318","30","41,667"
"10007856","Aberystwyth University","2024-07-31","58,781","17,150","19,019","29,341","841","1,181","126,313","36,869","2,098","40,725","14,466","5,767","99,925"
"10067853","ACM Guildford Limited","2023-08-31","10,777","1,936","0","4,282","0","0","16,995","8,609","0","4,411","890","6","13,916"
"10032036","Amity University [IN] London","2024-03-31","1,220","9","0","1,342","0","0","2,571","512","0","1,631","1","42","2,186"
"10030497","Anglo Skills College","2024-02-28","102","0","0","1","0","0","103","37","0","50","9","1","97"
"10000291","Anglia Ruskin University","2024-07-31","282,506","28,396","7,767","55,424","7,691","120","381,904","157,383","0","161,233","14,011","3,438","336,065"
"10041898","Apex College","2023-12-31","3,677","0","0","0","22","0","3,699","1,502","0","1,491","0","0","2,993"
"10005451","Arden University","2024-05-31","184,562","4,881","2","(8)","5,687","0","195,124","63,041","0","68,243","4,437","311","136,032"
"10000381","Arts Educational Schools","2023-08-31","10,170","0","0","751","94","221","11,236","6,819","0","3,541","740","233","11,333"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2023-12-31","3,851","0","0","8,704","243","0","12,798","3,504","0","7,657","0","0","11,161"
"10003212","Hult International Business School Ltd","2024-07-31","18,040","0","0","0","0","700","18,740","8,470","0","7,748","955","519","17,692"
"10007759","Aston University","2024-07-31","152,851","27,413","22,637","20,834","1,437","2,070","227,242","66,063","5,103","74,560","14,667","4,136","164,529"
"10038772","British Academy of Jewellery Limited","2024-06-30","7,385","1,615","0","0","0","0","9,000","2,084","0","5,567","144","12","7,807"
"10007857","Bangor University","2024-07-31","90,500","22,141","22,534","32,111","2,009","823","170,118","55,921","399","66,231","18,392","313","141,256"
"10000571","Bath Spa University","2024-07-31","176,878","7,609","2,458","14,675","1,566","66","203,252","61,020","0","125,452","5,450","895","192,817"
"10007850","The University of Bath","2024-07-31","219,452","41,166","50,646","68,163","7,431","4,274","391,132","108,258","0","139,042","57,442","11,230","315,972"
"10000911","BCNO Limited","2023-08-31","409","0","0","3,487","0","8","3,904","2,702","0","1,374","277","277","4,630"
"10007152","University of Bedfordshire","2024-07-31","122,726","7,254","3,990","10,407","6,049","13","150,439","73,297","2,277","49,637","8,809","273","134,293"
"10005343","Queen's University Belfast","2024-07-31","159,961","107,748","105,177","83,110","12,707","3,634","472,337","142,465","0","168,526","29,294","5,451","345,736"
"10037544","BIMM University","2023-08-31","72,594","3,689","0","0","0","0","76,283","21,412","0","29,072","6,530","41","57,055"
"10007810","Birmingham Christian College","2023-12-31","218","0","0","224","4","146","592","198","0","345","53","0","596"
"10002011","Bird College","2024-07-31","780","571","0","4,744","0","0","6,095","4,170","0","1,785","116","0","6,071"
"10007760","Birkbeck College","2024-07-31","65,891","15,212","7,766","9,105","1,736","2,705","102,415","39,497","1,240","31,604","6,034","683","79,058"
"10007140","Birmingham City University","2024-07-31","281,855","23,020","4,054","21,158","4,706","1,715","336,508","172,149","545","119,418","28,985","2,398","323,495"
"10006840","The University of Birmingham","2024-07-31","456,277","109,522","205,187","150,809","13,668","9,338","944,801","243,904","0","381,545","101,639","16,397","743,485"
"10000712","University College Birmingham","2024-07-31","59,691","18,573","0","6,344","2,727","0","87,335","38,630","0","37,836","5,061","0","81,527"
"10007832","Birmingham Newman University","2024-07-31","29,524","1,245","16","2,871","495","0","34,151","17,386","0","12,662","1,843","109","32,000"
"10000894","Bristol Baptist College","2024-06-30","299","0","0","6","43","124","472","290","0","375","33","13","711"
"10004061","Bloomsbury Institute","2024-07-31","11,465","353","0","2","10","0","11,830","4,922","0","8,013","209","29","13,173"
"10000385","The Arts University Bournemouth","2024-07-31","39,316","3,343","238","11,691","279","33","54,900","24,814","30","23,345","6,584","2,144","56,917"
"10000824","Bournemouth University","2024-07-31","152,924","14,663","5,430","17,830","2,777","82","193,706","99,659","6,645","65,534","13,557","2,340","187,735"
"10031982","BPP University","2023-08-31","185,815","0","0","10,450","0","0","196,265","54,725","222","85,114","1,008","0","141,069"
"10007785","The University of Bradford","2024-07-31","124,300","16,616","5,695","11,145","2,549","372","160,677","41,903","1,730","64,772","9,269","65","117,739"
"10000886","The University of Brighton","2024-07-31","136,565","23,075","9,627","38,627","2,500","490","210,884","119,023","2,047","64,528","7,748","2,075","195,421"
"10007786","The University of Bristol","2024-07-31","459,896","119,037","302,220","185,135","16,700","8,900","1,091,888","277,577","0","432,736","59,900","27,365","797,578"
"10028216","Brit College","2024-06-30","4,815","0","0","407","1","0","5,223","1,501","0","3,436","10","51","4,998"
"10023464","Trinity College Bristol","2023-08-31","1,441","0","0","946","0","69","2,456","1,357","0","1,121","156","62","2,696"
"10000961","Brunel University London","2024-07-31","158,069","21,749","19,214","67,589","3,203","506","270,330","87,186","0","102,561","18,744","4,463","212,954"
"10000975","Buckinghamshire New University","2024-07-31","168,140","9,084","407","12,052","2,556","0","192,239","47,583","1,175","132,757","5,331","1,645","188,491"
"10008173","University of the Built Environment","2024-07-31","20,034","1,136","132","134","373","51","21,860","15,297","0","4,692","355","64","20,408"
"10007787","The University of Buckingham","2023-12-31","45,066","0","374","7,044","246","859","53,589","19,154","0","25,593","2,340","240","47,327"
"10019368","London College of Business Studies","2024-07-31","1,418","542","0","0","0","0","1,960","579","49","612","60","5","1,305"
"10010308","Cambridge Arts and Sciences Limited","2023-08-31","13,423","0","0","4,889","0","0","18,312","6,574","0","9,663","312","0","16,549"
"10007788","The University of Cambridge","2024-07-31","415,310","202,532","583,349","1,205,281","74,086","150,226","2,630,784","826,737","0","1,245,183","151,618","20,262","2,243,800"
"10032072","The Cambridge Theological Federation","2023-08-31","0","0","0","829","0","0","829","200","0","677","14","0","891"
"10003324","The Institute of Cancer Research","2024-07-31","4,031","30,293","60,853","17,750","6,167","13,497","132,591","39,580","0","59,460","9,894","1,171","110,105"
"10001143","Canterbury Christ Church University","2024-07-31","277,704","18,918","1,102","17,038","4,353","0","319,115","96,134","1,902","199,713","10,539","3,582","311,870"
"10007814","Cardiff University","2024-07-31","328,285","83,213","126,500","95,186","11,707","4,177","649,068","210,343","0","234,623","50,632","16,033","511,631"
"10086359","Caspian School of Academics","2024-06-30","1,491","48","0","0","0","0","1,539","526","0","672","19","0","1,217"
"10007854","Cardiff Metropolitan University","2024-07-31","107,349","9,761","4,543","21,424","1,765","18","144,860","93,813","1,379","41,983","9,681","1,042","147,898"
"10057213","CEG UFP Limited","2023-08-31","54,519","0","0","14,751","0","0","69,270","14,871","0","47,742","834","0","63,447"
"10001264","Central School of Ballet","2024-07-31","1,931","802","0","369","73","420","3,595","1,955","0","1,323","575","198","4,051"
"10024024","Central Film School","2023-09-30","1,653","505","0","5","0","0","2,163","742","0","995","56","13","1,806"
"10007848","University of Chester","2024-07-31","115,207","13,020","2,204","14,968","2,085","19","147,503","83,080","0","55,764","7,049","1,513","147,406"
"10007137","The University of Chichester","2024-07-31","47,384","3,699","630","14,849","805","47","67,414","35,272","616","20,298","5,294","2,525","64,005"
"10001386","Chicken Shed Theatre Company","2024-03-31","434","840","0","2,179","21","336","3,810","2,396","0","1,073","181","2","3,652"
"10001546","The College of Integrated Chinese Medicine","2023-11-30","1,298","0","0","93","4","0","1,395","550","0","815","18","1","1,384"
"10026921","Christ the Redeemer College","2024-07-31","2,142","0","0","35","6","58","2,241","887","0","914","147","63","2,011"
"10010213","The City College","2024-06-30","1,424","0","0","0","4","0","1,428","533","0","942","11","0","1,486"
"10001478","City St George's, University of London","2024-07-31","242,516","25,187","12,184","15,123","5,123","1,604","301,737","95,729","1,000","100,696","20,292","3,806","221,523"
"10007912","Cliff College","2023-08-31","426","16","10","1,084","14","269","1,819","1,254","0","1,378","87","6","2,725"
"10066502","The College of Health Ltd","2023-08-31","2,285","570","0","569","45","127","3,596","1,224","0","1,796","127","2","3,149"
"10091065","Collective Acting Studio","2023-08-31","0","0","0","157","0","0","157","78","0","62","3","1","144"
"10023442","The College of Osteopaths","2023-08-31","647","0","0","348","3","0","998","701","0","403","9","2","1,115"
"10020038","Commonwealth College of Excellence","2024-06-30","432","0","0","0","0","0","432","227","0","170","4","0","401"
"10089288","Corndel College London","2023-12-31","0","0","0","98","0","0","98","1,017","0","360","61","0","1,438"
"10081618","The Council of the Inns of Court","2023-12-31","1,876","0","0","31","13","2,080","4,000","1,700","0","1,802","10","0","3,512"
"10007761","Courtauld Institute of Art","2024-07-31","8,735","7,467","1,267","4,989","436","9,806","32,700","6,275","0","14,968","2,408","199","23,850"
"10034324","Court Theatre Training Company Ltd","2023-08-31","389","343","0","0","0","0","732","181","0","529","11","5","726"
"10001726","Coventry University","2024-07-31","334,829","31,091","17,009","30,722","6,698","59","420,408","237,174","0","198,329","41,700","8,757","485,960"
"10007822","Cranfield University","2024-07-31","92,443","28,594","49,106","40,644","190","8,400","219,377","74,779","0","89,039","22,891","3,706","190,415"
"10006427","University for the Creative Arts","2024-07-31","114,870","2,821","278","14,635","2,097","76","134,777","46,356","873","81,093","4,707","752","133,781"
"10007842","University of Cumbria","2024-07-31","57,167","10,130","668","9,237","1,027","40","78,269","47,346","623","24,592","5,320","328","78,209"
