﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007783","The University of Aberdeen","51,023","77,566","63,999","35,571","926","877","229,962","133,549","3,783","73,716","19,099","4,386","234,533"
"10007849","Abertay University","8,770","21,066","909","3,192","337","26","34,300","22,518","0","8,363","1,703","446","33,030"
"10007856","Aberystwyth University","60,445","12,491","21,712","26,848","956","724","123,176","70,050","723","42,386","11,217","3,906","128,282"
"10000291","Anglia Ruskin University","147,538","18,097","4,115","33,525","308","177","203,760","100,012","1,004","78,194","13,181","6,032","198,423"
"10007759","Aston University","91,157","14,824","14,945","27,977","173","1,245","150,321","76,343","0","58,256","8,755","2,032","145,386"
"10007857","Bangor University","80,684","13,530","16,929","31,270","340","689","143,442","83,670","297","46,245","18,202","5,450","153,864"
"10000571","Bath Spa University","58,198","5,213","1,404","10,319","286","161","75,581","35,326","0","24,742","4,489","1,930","66,487"
"10007850","The University of Bath","139,340","35,131","35,690","49,770","587","2,680","263,198","131,533","0","86,031","22,136","9,333","249,033"
"10007152","University of Bedfordshire","90,954","10,439","3,059","8,489","364","110","113,415","63,292","0","38,837","9,042","1,592","112,763"
"10005343","Queen's University Belfast","91,880","91,766","74,854","49,862","4,245","3,931","316,538","180,262","0","112,377","17,832","5,456","315,927"
"10007760","Birkbeck College","67,648","19,897","10,082","8,212","554","1,694","108,087","63,971","0","31,976","2,156","323","98,426"
"10007140","Birmingham City University","167,707","16,236","1,997","13,749","662","398","200,749","111,691","0","55,942","11,256","4,236","183,125"
"10006840","The University of Birmingham","286,338","90,438","135,465","129,006","4,977","4,202","650,426","310,381","0","200,713","44,761","10,260","566,115"
"10000712","University College Birmingham","32,802","12,375","0","5,918","617","0","51,712","24,939","0","15,669","3,078","471","44,157"
"10007832","Birmingham Newman University","19,690","1,541","623","2,049","58","0","23,961","13,883","0","7,396","794","17","22,090"
"10000385","The Arts University Bournemouth","29,589","3,189","0","4,905","41","46","37,770","15,458","103","14,188","4,142","1,548","35,439"
"10000824","Bournemouth University","113,616","16,608","4,647","15,205","68","341","150,485","76,207","0","55,574","9,323","7,827","148,931"
"10007785","The University of Bradford","85,115","16,133","8,332","11,830","624","1,988","124,022","75,061","2,520","39,569","7,907","1,793","126,850"
"10000886","The University of Brighton","143,428","21,203","8,605","30,092","522","394","204,244","123,819","0","64,704","6,119","7,645","202,287"
"10000936","The University College of Osteopathy","3,386","498","5","758","24","785","5,456","3,159","0","1,462","246","212","5,079"
"10007786","The University of Bristol","216,050","91,391","148,922","116,473","3,097","324","576,257","284,516","0","186,270","47,570","18,924","537,280"
"10000961","Brunel University London","108,558","26,651","21,905","43,580","526","453","201,673","109,555","0","69,496","14,179","6,177","199,407"
"10000975","Buckinghamshire New University","48,588","5,769","718","10,092","65","151","65,383","33,347","0","23,173","4,915","2,767","64,202"
"10007787","The University of Buckingham","23,520","58","432","5,225","72","7,318","36,625","15,417","0","12,225","1,417","198","29,257"
"10007788","The University of Cambridge","262,843","193,034","470,396","780,701","21,334","71,164","1,799,472","761,408","0","862,153","77,059","33,133","1,733,753"
"10003324","The Institute of Cancer Research","3,085","19,679","61,691","64,855","969","11,599","161,878","60,880","0","42,698","5,366","1,040","109,984"
"10001143","Canterbury Christ Church University","102,034","9,817","1,444","21,220","318","0","134,833","71,211","0","48,597","5,773","2,020","127,601"
"10007814","Cardiff University","237,724","68,016","113,623","85,666","5,128","1,596","511,753","283,322","0","167,453","26,276","7,624","484,675"
"10007854","Cardiff Metropolitan University","71,804","2,690","2,783","20,566","118","299","98,260","60,939","0","30,388","3,532","2,851","97,710"
"10007848","University of Chester","89,394","9,827","1,564","18,577","40","11","119,413","67,651","0","41,649","6,954","2,904","119,158"
