﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/data.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","118","82.354","40.847","21.203","267,984.570","1,528","909"
"10007849","Abertay University","1","7","2.600","1.100","0.000","39,004.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","260,123.430","2,408","362"
"10000291","Anglia Ruskin University","4","182","22.800","9.140","8.000","132,367.040","676","2,096"
"10007759","Aston University","2","20","31.693","22.320","6.072","112,700.950","985","170"
"10007857","Bangor University","16","168","359.480","353.000","15.200","234,102.195","1,819","685"
"10000571","Bath Spa University","6","70","64.523","55.548","5.033","73,101.390","1,010","300"
"10007850","The University of Bath","1","113","95.563","31.000","24.000","325,145.490","2,157","865"
"10007152","University of Bedfordshire","5","36","36.172","27.168","5.683","95,207.000","471","196"
"10005343","Queen's University Belfast","7","268","60.300","40.230","27.920","426,394.000","1,282","1,594"
"10007760","Birkbeck College","2","17","4.558","0.000","0.000","47,340.000","0","112"
"10007140","Birmingham City University","3","27","28.200","10.900","18.100","156,539.000","",""
"10006840","The University of Birmingham","14","281","272.430","107.280","27.240","662,672.900","3,824","1,805"
"10000712","University College Birmingham","","","","","","80,524.500","",""
"10007811","Bishop Grosseteste University","2","25","8.100","4.300","4.200","25,929.374","368","102"
"10000385","The Arts University Bournemouth","4","24","3.800","3.800","0.000","49,041.000","260","282"
"10000824","Bournemouth University","4","27","17.960","10.940","3.580","95,310.000","1,360","768"
"10007785","The University of Bradford","5","24","13.540","13.540","1.076","116,623.870","825","142"
"10000886","The University of Brighton","5","114","48.665","38.260","9.300","235,868.450","1,937","1,942"
"10007786","The University of Bristol","6","314","364.956","345.248","17.430","540,462.565","1,982","4,108"
"10000961","Brunel University London","1","134","78.350","78.350","19.620","256,206.280","1,968","787"
"10000975","Buckinghamshire New University","","","8.500","","0.000","73,636.000","",""
"10007788","The University of Cambridge","16","375","668.680","","","771,471.110","3,406","11,400"
"10003324","The Institute of Cancer Research","2","10","5.100","4.050","0.000","42,000.000","381","100"
"10001143","Canterbury Christ Church University","15","97","19.170","9.550","4.817","125,434.472","720","771"
"10007814","Cardiff University","4","298","69.480","25.970","13.770","542,938.000","1,873","4,090"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,640","530"
"10007141","The University of Central Lancashire","6","77","61.457","22.182","24.909","205,093.210","2,284","684"
"10007848","University of Chester","4","217","69.080","42.990","17.900","205,269.680","2,417","312"
"10007137","The University of Chichester","2","112","29.008","28.008","","83,669.404","871","575"
"10001478","City, University of London","2","17","12.150","0.000","0.000","121,519.420","16","382"
"10001726","Coventry University","10","79","54.238","31.693","12.395","312,820.136","2,004","1,356"
"10007822","Cranfield University","3","272","254.400","238.310","5.630","191,744.770","2,253","713"
"10006427","University for the Creative Arts","4","63","8.600","8.000","0.000","99,162.950","588","313"
"10007842","University of Cumbria","5","82","38.239","34.517","3.500","68,444.420","960","172"
"10001883","De Montfort University","2","40","22.937","8.314","9.030","178,880.610","1,005","758"
"10007851","University of Derby","7","46","","40.710","7.900","165,148.430","1,755","490"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","653"
"10007143","University of Durham","3","427","257.950","57.920","36.930","378,796.970","3,022","2,086"
"10007789","The University of East Anglia","1","97","146.000","130.000","14.000","263,259.490","2,250","3,034"
"10007144","The University of East London","3","27","13.350","12.773","0.200","119,289.110","700","516"
"10007823","Edge Hill University","3","117","51.000","25.700","4.700","138,363.660","1,679","200"
"10007772","Edinburgh Napier University","11","18","35.000","10.123","0.000","111,456.398","770","677"
"10007790","The University of Edinburgh","7","481","360.000","355.000","10.900","929,985.000","2,508","8,515"
"10007791","The University of Essex","4","130","111.560","102.000","7.000","286,606.710","2,996","1,795"
"10007792","The University of Exeter","3","253","","","","305,299.730","1,815","3,927"
"10008640","Falmouth University","2","91","20.660","17.113","0.237","79,678.294","557","350"
"10004511","The National Film and Television School","1","11","1.420","1.420","0.000","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","102,532.960","143","212"
"10002681","Glasgow School of Art","4","17","2.000","2.000","0.000","66,757.000","33","72"
"10007794","The University of Glasgow","18","319","220.000","81.000","23.000","530,601.890","1,513","2,064"
"10007145","University of Gloucestershire","5","86","39.133","28.970","5.196","88,390.054","1,221","776"
"10002718","Goldsmiths College","2","100","15.730","8.266","7.570","85,560.000","146","308"
"10007146","The University of Greenwich","3","52","41.111","","17.560","145,764.410","1,243","614"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","165"
"10007764","Heriot-Watt University","4","92","89.640","89.460","10.440","234,427.870","2,104","609"
"10007147","University of Hertfordshire","8","86","96.720","96.720","21.640","192,879.000","2,870","1,710"
"10007148","The University of Huddersfield","1","29","17.390","11.790","5.600","123,247.810","594","102"
"10003270","Imperial College of Science, Technology and Medicine","11","114","139.709","118.873","24.253","596,683.000","402","3,045"
"10007767","Keele University","2","166","228.361","142.077","17.089","176,335.700","3,079","484"
"10007150","The University of Kent","2","392","129.360","120.160","9.900","250,908.380","2,306","1,750"
"10003645","King's College London","6","79","","5.800","16.640","445,351.547","154","1,248"
"10003678","Kingston University","5","130","50.640","17.960","21.320","126,290.610","1,311","2,212"
"10003758","LAMDA Limited","2","","0.360","","0.000","6,918.000","3","30"
"10007768","The University of Lancaster","2","255","183.830","95.540","9.050","337,440.000","3,091","1,898"
"10003854","Leeds Arts University","2","3","","","0.000","23,175.000","81","73"
"10003861","Leeds Beckett University","2","63","59.284","17.345","18.801","207,288.150","929","852"
"10007795","The University of Leeds","6","347","168.322","102.403","50.289","619,292.344","2,068","2,926"
"10003863","Leeds Trinity University","1","35","18.000","7.000","6.600","43,349.250","483","44"
"10007796","The University of Leicester","5","221","87.590","38.220","26.600","378,259.820","1,977","2,012"
"10007151","The University of Lincoln","3","118","256.818","239.418","3.232","255,762.847","1,214","1,498"
"10003956","Liverpool Hope University","4","35","25.495","20.752","2.431","86,210.260","634","201"
"10003957","Liverpool John Moores University","2","34","24.000","6.544","0.000","156,869.600","250","605"
"10006842","The University of Liverpool","5","259","215.749","83.200","12.434","515,464.200","1,791","755"
"10003958","Liverpool School of Tropical Medicine","1","5","2.100","0.000","0.000","27,514.100","134","120"
"10007162","University of the Arts, London","22","53","9.724","3.934","0.000","236,825.683","113","1,589"
"10007797","University of London (Institutes and activities)","","","","","","208,019.000","",""
"10004048","London Metropolitan University","3","7","2.534","0.375","0.000","83,223.780","24","153"
"10004078","London South Bank University","3","23","8.490","0.360","0.000","154,312.200","30","392"
"10004063","London School of Economics and Political Science","1","43","13.269","1.140","9.300","213,339.173","58","993"
"10007771","London School of Hygiene and Tropical Medicine","3","4","3.020","0.000","0.000","25,486.335","","136"
"10004113","Loughborough University","2","129","174.130","93.390","16.230","325,128.360","4,645","2,268"
"10004180","The Manchester Metropolitan University","1","43","25.680","16.654","2.307","300,951.380","630","1,048"
"10007798","The University of Manchester","6","191","116.980","86.360","8.303","873,719.440","3,662","3,000"
"10004351","Middlesex University","4","34","10.947","6.500","3.200","88,554.314","450","300"
"10007799","Newcastle University","23","209","634.135","22.010","26.450","496,852.660","989","2,466"
"10007138","The University of Northampton","10","33","37.720","29.570","9.000","109,648.000","3,057","553"
"10001282","University of Northumbria at Newcastle","4","58","28.000","25.000","3.000","239,026.000","","1,181"
"10004775","Norwich University of the Arts","","","","","","32,029.000","",""
"10007154","University of Nottingham","5","465","608.040","537.440","29.670","716,650.560","4,591","5,189"
"10004797","The Nottingham Trent University","6","133","266.811","246.869","6.447","248,410.470","1,623","1,179"
"10007773","The Open University","7","74","51.160","26.510","3.230","129,538.000","2,186","668"
"10004930","Oxford Brookes University","7","155","79.200","56.300","13.600","224,136.000","1,217","870"
