Nationality,101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,"110 Agriculture, forestry & food science","111 Earth, marine & environmental sciences",112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,"117 Mineral, metallurgy & materials engineering",118 Civil engineering,"119 Electrical, electronic & computer engineering","120 Mechanical, aero & production engineering","121 IT, systems sciences & computer software engineering",122 Mathematics,"123 Architecture, built environment & planning",124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,"144 Music, dance, drama & performing arts",145 Media studies,Total academic cost centres,Total academic services,Central administration & services,Staff & student facilities,Premises ,Residences & catering ,Total all cost centres
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Albania,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35
Algeria,5,0,0,0,0,0,5,0,0,0,0,5,0,5,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,70,0,0,0,0,0,70
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,20,0,0,5,0,5,0,0,0,0,0,20,0,10,5,0,0,0,0,0,0,5,5,0,0,0,0,10,15,5,0,0,5,0,0,0,10,5,0,0,0,0,5,0,0,145,0,0,0,0,0,145
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Australia,210,5,35,45,5,15,20,10,20,5,40,90,50,60,45,20,15,15,15,25,35,50,20,20,10,5,5,30,15,85,10,30,60,5,40,0,15,30,30,15,20,5,45,60,15,"1,405",5,10,0,0,0,"1,425"
Austria,75,0,5,15,0,5,5,0,0,0,10,75,15,20,10,5,0,0,15,5,25,20,10,0,5,5,5,5,20,15,5,10,45,0,5,5,50,15,5,0,5,5,10,15,10,575,5,0,0,0,0,575
