UKPRN,HE Provider,Financial Year End,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Unrestricted reserves as a % of total income,External borrowing as a % of total income,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Ratio of current assets to current liabilities,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Debt service ratio
10008071,AA School of Architecture,31/07/2024,2.2,1.5,53.4,54.1,16.6,16.5,117.6,3,452,449,2.1,2.8,212,211,2.7
10007783,The University of Aberdeen,31/07/2024,27.7,-6.3,30.7,64.6,7.9,5.4,143.6,32.7,851,579,1.3,1.4,138,90,0.1
10007849,Abertay University,31/07/2024,-1.4,-1.8,66.4,66.7,5.5,5.4,130,21,473,471,2.3,-4.2,119,118,-20.8
10007856,Aberystwyth University,31/07/2024,20.9,-9.5,29.2,59.6,7.5,5.4,69.2,55.2,454,328,0.7,1,31,22,0.3
10067853,ACM Guildford Limited,31/08/2023,18.1,18.1,56,56,7,7,74.3,0.4,331,331,0.9,22.7,112,112,350.4
10000163,AECC University College,31/07/2024,-1.6,-0.7,65.4,64.5,8.2,8.3,77.4,0,283,286,2.1,-3.6,143,145,-13
10032036,Amity Global Education,31/03/2024,15,15,19.9,19.9,0,0,103.6,111.8,612,612,1.9,10.7,46,46,6.6
10030497,Anglo Skills College,28/02/2024,5.8,5.8,35.9,35.9,0,0,32,16.5,233,233,2.6,31.1,274,274,4
10000291,Anglia Ruskin University,31/07/2024,12,11.1,41.2,42.1,4.1,4.1,58.2,15.7,245,242,0.8,2.8,81,80,1.4
10041898,Apex College,31/12/2023,19.1,19.1,40.6,40.6,0,0,38.2,0,172,172,7.8,14.2,190,190,0
10005451,Arden University,31/05/2024,30.3,30.3,32.3,32.3,10.3,10.3,44.8,0.1,269,269,1.6,27,117,117,137.4
10000381,Arts Educational Schools,31/08/2023,-0.9,-0.9,60.7,60.7,8.9,8.9,102.4,53.3,503,503,1.2,6.9,143,143,1.3
10008899,The Ashridge (Bonar Law Memorial) Trust,31/12/2023,12.8,-9.6,27.4,49.8,0,0,136.2,0,570,453,2.8,-14.3,286,227,0
10003212,Hult International Business School Ltd,31/07/2024,5.6,5.6,45.2,45.2,24.8,24.8,-43.4,56.3,-168,-168,0.9,15.3,128,128,1.6
10007759,Aston University,31/07/2024,27.6,0.1,29.1,56.5,6.4,4.7,79.2,17.2,409,297,1.3,2.8,116,82,1.7
10007857,Bangor University,31/07/2024,17,-8.6,32.9,58.5,7.8,6,132.6,52,610,466,1.4,3.4,99,73,0.6
10000571,Bath Spa University,31/07/2024,5.1,5.2,30,29.9,4.3,4.3,78.2,7.2,301,301,1.3,2.4,69,69,2
10007850,The University of Bath,31/07/2024,19.2,-5.9,27.7,52.8,6.4,4.9,290,50.4,"1,322","1,008",2.8,10.3,282,204,3.8
10000911,BCNO Limited,31/08/2023,-18.6,-18.6,69.2,69.2,8.7,8.7,229.9,0,855,855,7.9,-4.7,369,369,-0.1
10007152,University of Bedfordshire,31/07/2024,10.7,8.9,50.2,52.1,6.5,6.4,138.2,15,566,554,3.3,-12,399,390,-10.1
10005343,Queen's University Belfast,31/07/2024,26.8,-2.7,30.2,59.7,6.7,4.8,158.4,4.8,867,618,1.5,-5.6,197,137,-20.8
10037544,BIMM University,31/08/2023,25.2,25.2,28.1,28.1,16.8,16.8,160.5,0,783,783,3.3,14.4,58,58,268.8
10007810,Birmingham Christian College,31/12/2023,-0.7,1,33.4,31.8,0,0,24.7,0,"1,258","1,279",3.8,1.9,18,18,0
10002011,Bird College,31/07/2024,0.4,0.4,68.4,68.4,13.6,13.6,17.1,0.2,63,63,1,9.1,55,55,0
