"Country","Line","total_value","mean_value","n"
"Argentina","GK",21,7,3
"Argentina","DEF",152.5,19.0625,8
"Argentina","MID",332,41.5,8
"Argentina","ATT",302,43.1428571428571,7
"Belgium","GK",75,25,3
"Belgium","DEF",147.3,16.3666666666667,9
"Belgium","MID",176.2,19.5777777777778,9
"Belgium","ATT",149,29.8,5
"Brazil","GK",25.7,8.56666666666667,3
"Brazil","DEF",178.5,22.3125,8
"Brazil","MID",205,29.2857142857143,7
"Brazil","ATT",519,64.875,8
"England","GK",66,22,3
"England","DEF",371,41.2222222222222,9
"England","MID",551.2,78.7428571428571,7
"England","ATT",370,52.8571428571429,7
"France","GK",57,19,3
"France","DEF",404,44.8888888888889,9
"France","MID",312,52,6
"France","ATT",750,93.75,8
"Germany","GK",18.5,6.16666666666667,3
"Germany","DEF",217,31,7
"Germany","MID",479.5,47.95,10
"Germany","ATT",232,38.6666666666667,6
"Netherlands","GK",74,24.6666666666667,3
"Netherlands","DEF",232,29,8
"Netherlands","MID",247.2,30.9,8
"Netherlands","ATT",201,28.7142857142857,7
"Norway","GK",5.3,1.76666666666667,3
"Norway","DEF",94,10.4444444444444,9
"Norway","MID",130.6,18.6571428571429,7
"Norway","ATT",360,51.4285714285714,7
"Portugal","GK",50.5,16.8333333333333,3
"Portugal","DEF",324,36,9
"Portugal","MID",417,59.5714285714286,7
"Portugal","ATT",214,30.5714285714286,7
"Spain","GK",97,32.3333333333333,3
"Spain","DEF",288,36,8
"Spain","MID",420,60,7
"Spain","ATT",417.8,52.225,8
