Country,Number,Name,Position,DOB,Age,Club,Height,Foot,Caps,Goals,Debut,MarketValue
France,23,Robin Risser,Goalkeeper,02/12/2004,21,RC Lens,"1,93m",right,-,-,,€30.00m
France,16,Mike Maignan,Goalkeeper,03/07/1995,30,AC Milan,"1,91m",right,43,-,07/10/2020,€20.00m
France,1,Brice Samba,Goalkeeper,25/04/1994,32,Stade Rennais FC,"1,87m",left,4,-,16/06/2023,€7.00m
France,17,William Saliba,Centre-Back,24/03/2001,25,Arsenal FC,"1,92m",right,34,-,25/03/2022,€100.00m
France,4,Dayot Upamecano,Centre-Back,27/10/1998,27,Bayern Munich,"1,86m",right,41,2,05/09/2020,€70.00m
France,26,Maxence Lacroix,Centre-Back,06/04/2000,26,Crystal Palace,"1,90m",right,5,-,26/03/2026,€50.00m
France,15,Ibrahima Konaté,Centre-Back,25/05/1999,27,Liverpool FC,"1,94m",right,29,-,10/06/2022,€45.00m
France,19,Theo Hernández,Left-Back,06/10/1997,28,Al-Hilal SFC,"1,84m",left,46,2,07/09/2021,€20.00m
France,21,Lucas Hernández,Left-Back,14/02/1996,30,Paris Saint-Germain,"1,84m",left,42,-,23/03/2018,€18.00m
France,3,Lucas Digne,Left-Back,20/07/1993,32,Aston Villa,"1,78m",left,59,-,05/03/2014,€6.00m
France,5,Jules Koundé,Right-Back,12/11/1998,27,FC Barcelona,"1,81m",right,51,-,02/06/2021,€60.00m
France,2,Malo Gusto,Right-Back,19/05/2003,23,Chelsea FC,"1,78m",right,13,-,13/10/2023,€35.00m
France,8,Aurélien Tchouaméni,Defensive Midfield,27/01/2000,26,Real Madrid,"1,88m",right,48,3,01/09/2021,€70.00m
France,13,N'Golo Kanté,Defensive Midfield,29/03/1991,35,Fenerbahce,"1,68m",right,69,2,25/03/2016,€4.00m
France,18,Warren Zaïre-Emery,Central Midfield,08/03/2006,20,Paris Saint-Germain,"1,76m",right,11,1,18/11/2023,€80.00m
France,6,Manu Koné,Central Midfield,17/05/2001,25,AS Roma,"1,85m",right,16,-,06/09/2024,€50.00m
France,14,Adrien Rabiot,Central Midfield,03/04/1995,31,AC Milan,"1,91m",left,61,7,15/11/2016,€18.00m
France,24,Rayan Cherki,Attacking Midfield,17/08/2003,22,Manchester City,"1,77m",both,10,2,05/06/2025,€90.00m
France,12,Bradley Barcola,Left Winger,02/09/2002,23,Paris Saint-Germain,"1,87m",right,23,4,05/06/2024,€70.00m
France,11,Michael Olise,Right Winger,12/12/2001,24,Bayern Munich,"1,80m",left,20,7,06/09/2024,€150.00m
France,20,Désiré Doué,Right Winger,03/06/2005,21,Paris Saint-Germain,"1,81m",right,10,3,23/03/2025,€120.00m
France,25,Maghnes Akliouche,Right Winger,25/02/2002,24,AS Monaco,"1,83m",left,10,1,05/09/2025,€50.00m
France,10,Kylian Mbappé,Centre-Forward,20/12/1998,27,Real Madrid,"1,80m",right,101,60,25/03/2017,€180.00m
France,7,Ousmane Dembélé,Centre-Forward,15/05/1997,29,Paris Saint-Germain,"1,79m",both,62,11,01/09/2016,€100.00m
France,9,Marcus Thuram,Centre-Forward,06/08/1997,28,Inter Milan,"1,92m",right,35,3,11/11/2020,€50.00m
France,22,Jean-Philippe Mateta,Centre-Forward,28/06/1997,29,Crystal Palace,"1,92m",right,5,2,10/10/2025,€30.00m
England,13,Dean Henderson,Goalkeeper,12/03/1997,29,Crystal Palace,"1,88m",right,5,-,12/11/2020,€28.00m
England,23,James Trafford,Goalkeeper,10/10/2002,23,Manchester City,"1,92m",right,2,-,27/03/2026,€25.00m
England,1,Jordan Pickford,Goalkeeper,07/03/1994,32,Everton FC,"1,85m",left,87,-,10/11/2017,€13.00m
England,6,Marc Guéhi,Centre-Back,13/07/2000,25,Manchester City,"1,82m",right,32,1,26/03/2022,€70.00m
England,26,Jarell Quansah,Centre-Back,29/01/2003,23,Bayer 04 Leverkusen,"1,90m",right,4,-,16/11/2025,€45.00m
England,2,Ezri Konsa,Centre-Back,23/10/1997,28,Aston Villa,"1,80m",right,23,1,23/03/2024,€40.00m
England,12,Trevoh Chalobah,Centre-Back,05/07/1999,26,Chelsea FC,"1,92m",right,1,-,10/06/2025,€40.00m
England,5,John Stones,Centre-Back,28/05/1994,32,Manchester City,"1,88m",right,90,3,30/05/2014,€12.00m
England,15,Dan Burn,Centre-Back,09/05/1992,34,Newcastle United,"2,01m",left,8,-,21/03/2025,€4.00m
England,3,Nico O'Reilly,Left-Back,21/03/2005,21,Manchester City,"1,93m",left,8,-,13/11/2025,€70.00m
England,25,Djed Spence,Left-Back,09/08/2000,25,Tottenham Hotspur,"1,84m",right,8,-,09/09/2025,€30.00m
England,24,Reece James,Right-Back,08/12/1999,26,Chelsea FC,"1,80m",right,26,1,08/10/2020,€60.00m
England,14,Jordan Henderson,Defensive Midfield,17/06/1990,36,Brentford FC,"1,82m",right,89,3,17/11/2010,€1.20m
England,4,Declan Rice,Central Midfield,14/01/1999,27,Arsenal FC,"1,88m",right,75,7,22/03/2019,€120.00m
England,8,Elliot Anderson,Central Midfield,06/11/2002,23,Nottingham Forest,"1,79m",right,12,-,06/09/2025,€75.00m
England,16,Kobbie Mainoo,Central Midfield,19/04/2005,21,Manchester United,"1,84m",right,14,-,23/03/2024,€70.00m
England,10,Jude Bellingham,Attacking Midfield,29/06/2003,22,Real Madrid,"1,86m",right,51,7,12/11/2020,€130.00m
England,17,Morgan Rogers,Attacking Midfield,26/07/2002,23,Aston Villa,"1,87m",right,18,1,14/11/2024,€90.00m
England,21,Eberechi Eze,Attacking Midfield,29/06/1998,27,Arsenal FC,"1,78m",right,18,3,16/06/2023,€65.00m
England,18,Anthony Gordon,Left Winger,24/02/2001,25,Newcastle United,"1,83m",right,21,3,23/03/2024,€65.00m
England,11,Marcus Rashford,Left Winger,31/10/1997,28,FC Barcelona,"1,85m",right,75,19,27/05/2016,€40.00m
England,7,Bukayo Saka,Right Winger,05/09/2001,24,Arsenal FC,"1,78m",left,52,14,08/10/2020,€110.00m
England,20,Noni Madueke,Right Winger,10/03/2002,24,Arsenal FC,"1,82m",left,13,1,10/09/2024,€50.00m
England,9,Harry Kane,Centre-Forward,28/07/1993,32,Bayern Munich,"1,88m",right,117,82,27/03/2015,€60.00m
England,19,Ollie Watkins,Centre-Forward,30/12/1995,30,Aston Villa,"1,80m",right,22,7,25/03/2021,€25.00m
England,22,Ivan Toney,Centre-Forward,16/03/1996,30,Al-Ahli SFC,"1,85m",right,8,1,26/03/2023,€20.00m
Spain,13,Joan García,Goalkeeper,04/05/2001,25,FC Barcelona,"1,94m",right,2,-,31/03/2026,€45.00m
Spain,1,David Raya,Goalkeeper,15/09/1995,30,Arsenal FC,"1,86m",right,13,-,26/03/2022,€30.00m
Spain,23,Unai Simón,Goalkeeper,11/06/1997,29,Athletic Bilbao,"1,90m",right,61,-,11/11/2020,€22.00m
Spain,22,Pau Cubarsí,Centre-Back,22/01/2007,19,FC Barcelona,"1,84m",right,15,-,22/03/2024,€80.00m
Spain,4,Eric García,Centre-Back,09/01/2001,25,FC Barcelona,"1,83m",right,21,-,06/09/2020,€40.00m
Spain,2,Marc Pubill,Centre-Back,20/06/2003,23,Atlético de Madrid,"1,91m",right,2,-,04/06/2026,€35.00m
Spain,14,Aymeric Laporte,Centre-Back,27/05/1994,32,Athletic Bilbao,"1,91m",left,49,2,04/06/2021,€8.00m
Spain,24,Marc Cucurella,Left-Back,22/07/1998,27,Chelsea FC,"1,73m",left,27,1,08/06/2021,€50.00m
Spain,3,Alejandro Grimaldo,Left-Back,20/09/1995,30,Bayer 04 Leverkusen,"1,71m",left,14,-,16/11/2023,€20.00m
Spain,12,Pedro Porro,Right-Back,13/09/1999,26,Tottenham Hotspur,"1,73m",right,19,-,28/03/2021,€35.00m
Spain,5,Marcos Llorente,Right-Back,30/01/1995,31,Atlético de Madrid,"1,83m",right,26,-,11/11/2020,€20.00m
Spain,18,Martín Zubimendi,Defensive Midfield,02/02/1999,27,Arsenal FC,"1,81m",right,26,3,08/06/2021,€75.00m
Spain,16,Rodri,Defensive Midfield,22/06/1996,30,Manchester City,"1,90m",right,65,4,23/03/2018,€50.00m
Spain,20,Pedri,Central Midfield,25/11/2002,23,FC Barcelona,"1,74m",right,44,6,25/03/2021,€150.00m
Spain,8,Fabián Ruiz,Central Midfield,03/04/1996,30,Paris Saint-Germain,"1,88m",left,45,6,07/06/2019,€30.00m
Spain,9,Gavi,Central Midfield,05/08/2004,21,FC Barcelona,"1,73m",right,31,5,06/10/2021,€30.00m
Spain,6,Mikel Merino,Central Midfield,22/06/1996,30,Arsenal FC,"1,88m",left,46,10,03/09/2020,€25.00m
Spain,10,Dani Olmo,Attacking Midfield,07/05/1998,28,FC Barcelona,"1,79m",right,53,12,15/11/2019,€60.00m
Spain,15,Álex Baena,Left Winger,20/07/2001,24,Atlético de Madrid,"1,72m",right,19,3,12/09/2023,€40.00m
Spain,17,Nico Williams,Left Winger,12/07/2002,23,Athletic Bilbao,"1,81m",right,33,6,24/09/2022,€40.00m
Spain,25,Víctor Muñoz,Left Winger,13/07/2003,22,CA Osasuna,"1,73m",right,2,1,27/03/2026,€30.00m
Spain,19,Lamine Yamal,Right Winger,13/07/2007,18,FC Barcelona,"1,83m",left,28,7,08/09/2023,€200.00m
Spain,11,Yéremy Pino,Right Winger,20/10/2002,23,Crystal Palace,"1,74m",right,25,4,06/10/2021,€30.00m
Spain,7,Ferran Torres,Centre-Forward,29/02/2000,26,FC Barcelona,"1,83m",right,60,24,03/09/2020,€50.00m
Spain,21,Mikel Oyarzabal,Centre-Forward,21/04/1997,29,Real Sociedad,"1,81m",left,56,27,29/05/2016,€25.00m
Spain,26,Borja Iglesias,Centre-Forward,17/01/1993,33,Celta de Vigo,"1,87m",right,8,-,24/09/2022,€2.80m
Portugal,1,Diogo Costa,Goalkeeper,19/09/1999,26,FC Porto,"1,88m",right,45,-,09/10/2021,€40.00m
Portugal,22,Rui Silva,Goalkeeper,07/02/1994,32,Sporting CP,"1,91m",left,3,-,09/06/2021,€7.00m
Portugal,12,José Sá,Goalkeeper,17/01/1993,33,Wolverhampton Wanderers,"1,92m",right,5,-,16/11/2023,€3.50m
Portugal,3,Rúben Dias,Centre-Back,14/05/1997,29,Manchester City,"1,87m",right,77,3,28/05/2018,€55.00m
Portugal,14,Gonçalo Inácio,Centre-Back,25/08/2001,24,Sporting CP,"1,85m",left,22,2,23/03/2023,€40.00m
Portugal,4,Tomás Araújo,Centre-Back,16/05/2002,24,SL Benfica,"1,87m",right,6,-,18/11/2024,€30.00m
Portugal,13,Renato Veiga,Centre-Back,29/07/2003,22,Villarreal CF,"1,88m",left,15,1,12/10/2024,€25.00m
Portugal,25,Nuno Mendes,Left-Back,19/06/2002,24,Paris Saint-Germain,"1,77m",left,47,2,24/03/2021,€80.00m
Portugal,6,Matheus Nunes,Right-Back,27/08/1998,27,Manchester City,"1,83m",right,20,2,09/10/2021,€50.00m
Portugal,5,Diogo Dalot,Right-Back,18/03/1999,27,Manchester United,"1,84m",right,35,3,23/06/2021,€30.00m
Portugal,20,João Cancelo,Right-Back,27/05/1994,32,FC Barcelona,"1,82m",right,70,12,01/09/2016,€8.00m
Portugal,2,Nélson Semedo,Right-Back,16/11/1993,32,Fenerbahce,"1,79m",right,52,-,11/10/2015,€6.00m
