"Country","n_players","total_value","mean_value","median_value","sd_value","cv","gini","top3_share","top5_share","max_value","value_adj"
"Norway",26,589.9,22.6884615384615,12.5,39.0538840774956,1.72131036788419,0.608349524691278,0.517036785895915,0.622139345651806,200,231.034615384615
"Argentina",26,807.5,31.0576923076923,20,29.8262726209887,0.960350573555053,0.495999047392236,0.340557275541796,0.526315789473684,100,406.980769230769
"Brazil",26,928.2,35.7,30,32.6925067867241,0.915756492625324,0.474408698390599,0.312432665373842,0.46326222796811,140,487.853846153846
"Portugal",26,1005.5,38.6730769230769,30,35.2161730764978,0.910612133256034,0.435393795662319,0.358030830432621,0.472401790154152,140,567.711538461538
"Germany",26,947,36.4230769230769,31.5,27.7847772377942,0.762834433139017,0.405653480627081,0.30623020063358,0.422386483632524,100,562.846153846154
"France",26,1523,58.5769230769231,50,44.4910535518529,0.759532102658028,0.403732511743017,0.295469468154957,0.426789231779383,180,908.115384615385
"Spain",26,1222.8,47.0307692307692,35,42.1884417273809,0.89703916005226,0.388515638760977,0.351651946352633,0.462054301602879,200,747.723076923077
"Belgium",26,547.5,21.0576923076923,20,15.8119492302985,0.750887086735638,0.381784334387074,0.28310502283105,0.401826484018265,75,338.473076923077
"England",26,1358.2,52.2384615384615,47.5,34.3593722518102,0.657740891287781,0.360233567051414,0.26505669268149,0.386541010160507,130,868.930769230769
"Netherlands",26,754.2,29.0076923076923,25,18.739944996225,0.646033638162092,0.351029108785672,0.251922566958366,0.37788385043755,80,489.453846153846
